loja,valor,clientes
Zara,18350479.07,16166
Vivara,9785291.29,2201
Renner,8032960.88,14144
Sephora,6029583.58,6978
Centauro,4827072.83,8379
iPlace Mobile,4082257.2,1020
C&A,3553027.62,7986
Riachuelo,2631696.41,6310
Superlegal Brinquedos,2479422.0,5556
Paris Cosméticos,2363011.42,4653
Life Vivara,2357695.98,2510
Kulkes,2041060.85,49
.,2022406.73,2147
Tok&Stok,1922095.43,2079
BOSS,1835450.26,725
Padrão,1794941.62,742
Brooksfield,1769620.12,957
Track&Field,1682285.78,1962
Shoulder,1598473.62,1360
Outback Steakhouse,1576556.31,3839
