segmento,valor,clientes
Moda,35076569.51,35148
Joalheria,7002199.52,3393
Calçados,6841998.61,14156
Gastronomia,6838693.3,20912
Telefonia,6552238.73,1652
Esportes,5397782.8100000005,11411
Eletrodomésticos,4482100.54,6231
Beleza e Bem-estar,4476162.01,11838
Ótica,4051760.85,2806
Casa e Decoração,1950395.33,3009
Moda Feminina,1849055.53,2287
Infantil,1747399.32,4796
Eletrônicos,1557324.61,955
Não informado,1358957.21,2254
Presentes e Acessórios,1340166.96,3929
Livrarias,1021100.23,5536
Papelaria,935507.77,4690
Farmácias,762972.72,4289
Pets,718535.47,2824
Vestuário feminino,287820.52,420
