segmento,valor,clientes
Moda,7347357.04,11848
Eletrodomésticos,6062212.32,5249
Casa e Decoração,4796259.5,7136
Calçados,3015769.93,6907
Beleza e Bem-estar,2968599.76,8202
Eletrônicos,2928618.14,1414
Supermercado,2492133.0,4407
Esportes,2248573.06,4662
Telefonia,2042895.16,1067
Serviços,1895752.43,2707
Gastronomia,1753590.42,7878
Joalheria,1210988.71,1116
Infantil,1062831.37,2944
Presentes e Acessórios,611804.3099999999,3070
Ótica,562869.4,749
Pets,534121.62,2431
Papelaria,468508.81,1976
Livrarias,387808.62,2200
Outros,371481.89,220
Lazer,59865.41,389
