segmento,valor,clientes
Moda,27814361.66,24528
Joalheria,9925149.15,4551
Beleza e Bem-estar,7830267.94,14403
Calçados,7224053.4799999995,12055
Gastronomia,6460615.65,15881
Casa e Decoração,5948250.59,10803
Esportes,4300037.57,7949
Moda Feminina,4232168.4,3706
Telefonia,3897832.22,1166
Ótica,3673712.42,2210
Presentes e Acessórios,3107329.72,5217
Eletrônicos,2845526.29,1909
Serviços,2630216.86,3501
Livrarias,1889598.01,7951
Infantil,1879710.87,4525
Papelaria,1142120.9,4828
Eletrodomésticos,875538.76,4967
Farmácias,790356.23,3567
Pets,745346.26,2156
Gastronomia - Restaurante,178354.38,511
