loja,valor,clientes
Renner,6186886.86,12074
Vivara ,5607921.2,1792
Bergerson,3917105.02,133
Riachuelo,3665259.54,8457
Centauro,3291208.5900000003,6921
CVC,2911936.95,228
Havan,2844496.73,6662
C&A,2611802.15,6804
Hering,2330558.37,5585
Idéli Oui,2286707.99,2714
Brooksfield,2125285.15,1137
Levi's,1912455.88,2505
Pittol,1817102.54,5387
Life Vivara,1605625.49,1843
Le Lis Blanc,1498699.94,712
IPLACE MOBILE,1344538.56,399
Shoulder,1341482.84,1062
Makenji,1340033.51,1342
Superlegal,1148958.24,3726
Magazine Luiza,1106420.09,552
