faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,7304277.86,19186
Boomers (1946-1964),Quarta,5326385.12,12835
Boomers (1946-1964),Quinta,6029231.04,13846
Boomers (1946-1964),Sabado,7833841.09,18766
Boomers (1946-1964),Segunda,7111087.5,15487
Boomers (1946-1964),Sexta,6762275.09,14864
Boomers (1946-1964),Terca,6277615.68,13843
Gen X (1965-1980),Domingo,32601065.75,96480
Gen X (1965-1980),Quarta,20085368.45,54598
Gen X (1965-1980),Quinta,21117257.89,56995
Gen X (1965-1980),Sabado,31682612.38,91366
Gen X (1965-1980),Segunda,26750155.95,72830
Gen X (1965-1980),Sexta,22554105.44,63366
Gen X (1965-1980),Terca,22521192.3,61603
Gen Z (1997-2012),Domingo,13093920.36,46096
Gen Z (1997-2012),Quarta,6540481.99,23694
Gen Z (1997-2012),Quinta,6501614.15,23975
Gen Z (1997-2012),Sabado,11423617.0,40287
Gen Z (1997-2012),Segunda,8985509.16,29556
Gen Z (1997-2012),Sexta,7631653.45,27229
Gen Z (1997-2012),Terca,7315239.01,26050
Millennials (1981-1996),Domingo,53379427.5,169965
Millennials (1981-1996),Quarta,28956619.98,89105
Millennials (1981-1996),Quinta,29496851.31,91031
Millennials (1981-1996),Sabado,47856964.61,153164
Millennials (1981-1996),Segunda,38268391.77,114482
Millennials (1981-1996),Sexta,32918535.85,102305
Millennials (1981-1996),Terca,32749716.25,97451
Nao Informado,Domingo,44047.68,133
Nao Informado,Quarta,23091.17,83
Nao Informado,Quinta,16818.25,70
Nao Informado,Sabado,21180.18,91
Nao Informado,Segunda,48169.18,133
Nao Informado,Sexta,17826.98,73
Nao Informado,Terca,14175.289999999999,84
Silent (antes 1946),Domingo,225686.39,475
Silent (antes 1946),Quarta,146550.88,345
Silent (antes 1946),Quinta,170231.84,327
Silent (antes 1946),Sabado,172787.52,417
Silent (antes 1946),Segunda,201969.73,340
Silent (antes 1946),Sexta,154446.53,375
Silent (antes 1946),Terca,176469.71,350
