genero,segmento,valor,clientes,ranking
Feminino,Moda,130706904.71,103328,1
Feminino,Beleza e Bem-estar,29461526.54,51931,2
Feminino,Calçados,27668894.82,48189,3
Feminino,Joalheria,26819952.45,12759,4
Feminino,Gastronomia,20847330.87,58705,5
Masculino,Moda,60420179.93,54655,1
Masculino,Joalheria,27416275.19,8474,2
Masculino,Calçados,11276506.82,20339,3
Masculino,Gastronomia,10460477.44,29900,4
Masculino,Esportes,9938283.05,17837,5
Outro,Moda,123501.91,134,1
Outro,Gastronomia,31047.94,95,2
Outro,Beleza e Bem-estar,28563.670000000002,63,3
Outro,Joalheria,20776.8,18,4
Outro,Calçados,17410.920000000002,43,5
Nao Informado,Moda,71413.21,103,1
Nao Informado,Calçados,18795.29,37,2
Nao Informado,Eletrônicos,17052.8,6,3
Nao Informado,Gastronomia,13126.74,63,4
Nao Informado,Beleza e Bem-estar,9475.12,34,5
