cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
168,155.34,1,43,Continente Shopping,Feminino,Gastronomia,2,1,1,4,Pontual
195,394.81,3,6,Continente Shopping,Feminino,Infantil,5,5,3,13,VIP
198,179.0,1,76,Balneário Shopping,Feminino,Moda,1,1,1,3,Pontual
235,39.99,1,85,Continente Shopping,Masculino,Moda,1,1,1,3,Pontual
277,489.95,1,23,Neumarkt Shopping,Feminino,Casa e Decoração,3,1,3,7,Potencial
281,687.5,1,22,Balneário Shopping,Feminino,Moda,3,1,4,8,Potencial
336,1554.5,1,28,Balneário Shopping,Feminino,Moda,3,1,5,9,Potencial
382,78.0,2,4,Balneário Shopping,Feminino,Gastronomia,5,4,1,10,Premium
611,86.25,1,18,Balneário Shopping,Feminino,Moda,4,1,1,6,Pontual
617,9.99,1,37,Garten Shopping,Feminino,Farmácias,2,1,1,4,Pontual
770,159.98,1,18,Norte Shopping,Masculino,Casa e Decoração,4,1,1,6,Pontual
836,359.95,3,83,Continente Shopping,Feminino,Moda,1,5,2,8,Potencial
1115,169.98,1,8,Nações Shopping,Feminino,Moda,5,1,1,7,Potencial
1278,2048.5,2,58,Balneário Shopping,Feminino,Moda,1,4,5,10,Premium
1496,936.5,2,19,Balneário Shopping,Masculino,Moda,4,4,4,12,Premium
1705,788.0,3,25,Balneário Shopping,Feminino,Moda,3,5,4,12,Premium
1755,235.48000000000002,3,12,Garten Shopping,Masculino,Beleza e Bem-estar,4,5,2,11,Premium
1780,743.5,2,82,Balneário Shopping,Masculino,Moda,1,4,4,9,Potencial
2035,674.63,7,4,Garten Shopping,Masculino,Moda,5,5,4,14,VIP
2169,455.88,1,11,Nações Shopping,Masculino,Moda,4,1,3,8,Potencial
2175,89.99,1,16,Continente Shopping,Feminino,Moda,4,1,1,6,Pontual
2213,75.0,1,139,Neumarkt Shopping,Masculino,Telefonia,1,1,1,3,Pontual
2360,360.15999999999997,3,5,Neumarkt Shopping,Feminino,Casa e Decoração,5,5,2,12,Premium
2374,2828.75,6,22,Balneário Shopping,Masculino,Moda,3,5,5,13,VIP
2460,159.0,1,3,Balneário Shopping,Feminino,Moda,5,1,1,7,Potencial
2655,407.0,1,173,Balneário Shopping,Feminino,Moda,1,1,3,5,Pontual
2671,276.0,1,13,Balneário Shopping,Feminino,Moda,4,1,2,7,Potencial
2916,837.75,2,13,Balneário Shopping,Feminino,Moda,4,4,4,12,Premium
3176,114.97,1,11,Neumarkt Shopping,Feminino,Casa e Decoração,4,1,1,6,Pontual
