sigla,faixa_etaria,qtd_clientes,pct_clientes,valor_total
CS,Gen Z (1997-2012),48,10.412147505422993,22989.730000000003
CS,Gen X (1965-1980),150,32.53796095444685,177634.73
CS,Millennials (1981-1996),230,49.891540130151846,160887.51
CS,Boomers (1946-1964),32,6.941431670281996,13542.39
CS,Nao Informado,1,0.21691973969631237,606.48
BS,Millennials (1981-1996),898,51.549942594718715,948527.74
BS,Gen X (1965-1980),543,31.171067738231915,548862.52
BS,Gen Z (1997-2012),154,8.84041331802526,132050.93
BS,Boomers (1946-1964),143,8.208955223880597,134024.16999999998
BS,Nao Informado,2,0.1148105625717566,813.0
BS,Silent (antes 1946),2,0.1148105625717566,2812.75
NK,Millennials (1981-1996),88,47.05882352941176,61963.41
NK,Gen Z (1997-2012),15,8.02139037433155,10792.17
NK,Gen X (1965-1980),72,38.50267379679144,96814.60999999999
NK,Boomers (1946-1964),11,5.88235294117647,12736.189999999999
NK,Silent (antes 1946),1,0.53475935828877,180.4
NR,Millennials (1981-1996),37,54.41176470588235,22822.670000000006
NR,Gen X (1965-1980),26,38.23529411764706,25559.93
NR,Gen Z (1997-2012),4,5.88235294117647,1852.3
NR,Boomers (1946-1964),1,1.4705882352941175,978.87
GS,Gen Z (1997-2012),24,14.457831325301203,93106.26999999999
GS,Millennials (1981-1996),80,48.19277108433735,62579.25000000001
GS,Gen X (1965-1980),45,27.10843373493976,114918.04000000001
GS,Boomers (1946-1964),17,10.240963855421686,32730.169999999995
NS,Millennials (1981-1996),39,57.35294117647059,17504.120000000003
NS,Gen X (1965-1980),18,26.47058823529412,8992.48
NS,Gen Z (1997-2012),9,13.23529411764706,2040.03
NS,Boomers (1946-1964),2,2.941176470588235,1010.7800000000001
