segmento,valor,clientes
Moda,13832657.25,16592
Telefonia,3149928.33,833
Joalheria,2889576.49,1538
Calçados,2644312.31,6561
Gastronomia,2153979.49,9296
Esportes,1946017.84,4764
Beleza e Bem-estar,1760021.48,5556
Ótica,1630355.12,1256
Eletrodomésticos,1601755.22,2686
Infantil,1018632.35,2775
Casa e Decoração,874738.8,1490
Moda Feminina,863600.89,1261
Eletrônicos,680170.34,342
Não informado,533589.0,1026
Presentes e Acessórios,440442.94,1553
Livrarias,415810.6,2447
Papelaria,363017.39,2013
Vestuário feminino,278795.5,409
Farmácias,256697.05,1890
Pets,244113.69,1142
