loja,valor,clientes
Renner,2026697.98,4927
Vivara,1903023.73,593
Nike Unite,1785796.1400000001,3242
C&A,1164858.84,3194
Centauro,1140832.55,2672
Vivo,1078958.58,217
Riachuelo,985930.21,2980
Magazine Luiza,927629.27,387
Claro,903625.8,238
Empório Du Homem,847249.52,927
Decathlon,800170.6,2523
iPlace Mobile,678817.11,195
Brooksfield,657362.63,424
Ri Happy Baby,589309.47,1995
Óticas Carol,546308.57,285
Damyller ,522455.0,546
Samsung,516782.35,123
Carioca Calçados,491134.58,1313
CLIFIELD,490066.39,694
Arezzo,471800.08999999997,855
