segmento,valor,clientes
Moda,7376623.76,8900
Casa e Decoração,1404537.96,2167
Joalheria,1319599.75,886
Beleza e Bem-estar,1093593.8,3424
Esportes,943956.9500000001,1869
Gastronomia,926923.3,3550
Calçados,885543.65,2479
Eletrônicos,844657.9400000001,231
Calçados Femininos,812101.21,939
Infantil,713193.7,1976
Pets,292818.74,1282
Livrarias,233625.46,1261
Presentes e Acessórios,194854.17,413
Farmácias,164309.21,954
Ótica,163796.18,251
Papelaria,140910.62,558
Outros,109361.79,308
Eletrodomésticos,67179.54,625
Hub da Saúde,51522.28,17
Serviços,25494.76,899
