shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Balneário Shopping,Premium,1,Moda,4175725.93,44.89,8145,3502
Balneário Shopping,Premium,2,Beleza e Bem-estar,896730.12,9.64,2670,1701
Balneário Shopping,Premium,3,Joalheria,815351.25,8.76,597,513
Balneário Shopping,Premium,4,Calçados,809381.4,8.7,1604,1243
Balneário Shopping,Premium,5,Moda Feminina,697490.63,7.5,759,615
Balneário Shopping,Premium,6,Infantil,484708.21,5.21,1474,1009
Balneário Shopping,Premium,7,Gastronomia,401365.96,4.31,3545,1633
Balneário Shopping,Premium,8,Casa e Decoração,365947.81,3.93,612,466
Balneário Shopping,Premium,9,Esportes,363251.17,3.9,820,658
Balneário Shopping,Premium,10,Ótica,292997.19,3.15,229,207
Balneário Shopping,VIP,1,Moda,11975200.69,39.93,19395,4933
Balneário Shopping,VIP,2,Joalheria,4891753.76,16.31,1621,1161
Balneário Shopping,VIP,3,Beleza e Bem-estar,2715347.13,9.05,7084,2953
Balneário Shopping,VIP,4,Calçados,2075959.49,6.92,3237,2025
Balneário Shopping,VIP,5,Moda Feminina,2006729.25,6.69,1741,1149
Balneário Shopping,VIP,6,Eletrônicos,1539815.32,5.13,575,474
Balneário Shopping,VIP,7,Infantil,1309699.58,4.37,3927,1838
Balneário Shopping,VIP,8,Casa e Decoração,1244126.31,4.15,1672,1022
Balneário Shopping,VIP,9,Gastronomia,1240790.13,4.14,10562,2845
Balneário Shopping,VIP,10,Telefonia,994244.52,3.31,213,155
Continente Shopping,Premium,1,Moda,2926143.49,42.2,6911,2620
Continente Shopping,Premium,2,Telefonia,609351.83,8.79,256,218
Continente Shopping,Premium,3,Joalheria,578148.08,8.34,415,355
Continente Shopping,Premium,4,Calçados,541764.54,7.81,1780,1206
Continente Shopping,Premium,5,Ótica,500080.42,7.21,332,300
Continente Shopping,Premium,6,Eletrodomésticos,443533.37,6.4,818,536
Continente Shopping,Premium,7,Gastronomia,388093.14,5.6,5481,1613
Continente Shopping,Premium,8,Esportes,366714.61,5.29,1124,799
Continente Shopping,Premium,9,Beleza e Bem-estar,344979.05,4.97,1592,1021
Continente Shopping,Premium,10,Casa e Decoração,235695.85,3.4,369,298
Continente Shopping,VIP,1,Moda,4313840.59,33.14,9928,2236
Continente Shopping,VIP,2,Telefonia,2309372.39,17.74,600,397
