faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,2840135.94,7315
Boomers (1946-1964),Quarta,2054006.72,5235
Boomers (1946-1964),Quinta,2514474.91,5820
Boomers (1946-1964),Sabado,2971388.98,7475
Boomers (1946-1964),Segunda,2996123.86,6871
Boomers (1946-1964),Sexta,2390079.55,5811
Boomers (1946-1964),Terca,2474887.13,5770
Gen X (1965-1980),Domingo,11948600.89,35489
Gen X (1965-1980),Quarta,7723803.13,20955
Gen X (1965-1980),Quinta,8329440.27,23293
Gen X (1965-1980),Sabado,12069281.71,35203
Gen X (1965-1980),Segunda,11079306.68,30620
Gen X (1965-1980),Sexta,8673236.89,24399
Gen X (1965-1980),Terca,9241972.04,24944
Gen Z (1997-2012),Domingo,4250621.49,15519
Gen Z (1997-2012),Quarta,2068553.42,7570
Gen Z (1997-2012),Quinta,2277399.68,8247
Gen Z (1997-2012),Sabado,3963159.54,13676
Gen Z (1997-2012),Segunda,3236801.72,11236
Gen Z (1997-2012),Sexta,2601194.02,9104
Gen Z (1997-2012),Terca,2637504.4,9297
Millennials (1981-1996),Domingo,18350198.9,59479
Millennials (1981-1996),Quarta,10123827.1,31938
Millennials (1981-1996),Quinta,11004633.37,34538
Millennials (1981-1996),Sabado,17680339.37,56159
Millennials (1981-1996),Segunda,15342818.13,45925
Millennials (1981-1996),Sexta,11945636.79,36790
Millennials (1981-1996),Terca,12204181.68,36656
Nao Informado,Domingo,4850.82,29
Nao Informado,Quarta,5513.48,10
Nao Informado,Quinta,4320.0599999999995,6
Nao Informado,Sabado,4577.74,13
Nao Informado,Segunda,1980.18,9
Nao Informado,Sexta,4212.43,10
Nao Informado,Terca,2748.2,14
Silent (antes 1946),Domingo,85248.31,154
Silent (antes 1946),Quarta,69765.61,163
Silent (antes 1946),Quinta,86570.69,129
Silent (antes 1946),Sabado,58127.1,124
Silent (antes 1946),Segunda,114439.48999999999,142
Silent (antes 1946),Sexta,60222.34,131
Silent (antes 1946),Terca,73132.46,159
