faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),3368697.73,8322
Boomers (1946-1964),Noite (18h-22h),6478553.4,16493
Boomers (1946-1964),Tarde (12h-18h),8393845.96,19482
Gen X (1965-1980),Manha (6h-12h),13921159.82,38556
Gen X (1965-1980),Noite (18h-22h),28093640.71,80127
Gen X (1965-1980),Tarde (12h-18h),27050841.08,76220
Gen Z (1997-2012),Manha (6h-12h),3784644.85,12906
Gen Z (1997-2012),Noite (18h-22h),9964575.76,35208
Gen Z (1997-2012),Tarde (12h-18h),7286013.66,26535
Millennials (1981-1996),Manha (6h-12h),19259827.51,57690
Millennials (1981-1996),Noite (18h-22h),41176542.63,129453
Millennials (1981-1996),Tarde (12h-18h),36215265.2,114342
Nao Informado,Manha (6h-12h),3752.7200000000003,11
Nao Informado,Noite (18h-22h),17941.72,33
Nao Informado,Tarde (12h-18h),6508.47,47
Silent (antes 1946),Manha (6h-12h),118638.86,164
Silent (antes 1946),Noite (18h-22h),209327.84,392
Silent (antes 1946),Tarde (12h-18h),219539.3,446
