segmento,valor,clientes
Moda,19013328.07,21297
Gastronomia,4120621.29,13274
Calçados,3706508.67,7972
Joalheria,3679028.47,1794
Esportes,3035703.96,6668
Telefonia,3019459.4,771
Beleza e Bem-estar,2460162.73,6968
Eletrodomésticos,2423861.49,3649
Ótica,2128206.07,1377
Casa e Decoração,942077.75,1497
Moda Feminina,877315.12,1032
Presentes e Acessórios,775716.06,2228
Eletrônicos,773318.2,547
Não informado,761333.28,1197
Infantil,660610.22,2217
Livrarias,517230.26,3164
Papelaria,463776.35,2687
Farmácias,454520.22,2459
Pets,406234.71,1737
Serviços,101173.73,2077
