segmento,valor,clientes
Moda,19522865.91,20551
Joalheria,7401132.61,2336
Calçados,4688003.71,8995
Gastronomia,3069502.96,10643
Beleza e Bem-estar,2584093.58,6084
Esportes,2270766.25,4749
Casa e Decoração,1881692.56,4392
Presentes e Acessórios,1464879.87,4555
Moda Feminina,1439732.29,1908
Telefonia,1435082.88,502
Infantil,1408745.87,3981
Serviços,1340361.36,1774
Eletrônicos,1289678.35,791
Ótica,1047975.15,1009
Farmácias,724903.54,3004
Eletrodomésticos,561287.39,288
Livrarias,461246.07,3034
Papelaria,424474.61,2301
Não informado,309330.16,400
Pets,248716.86,1330
