loja,valor,clientes
Renner,1750315.7,3225
C&A,895494.34,2254
Vivara,845586.35,391
Riachuelo,732838.48,1945
Cassol Centerlar,673762.1,777
Centauro,665026.49,1374
Samsung,624647.41,134
Luz da Lua,575859.72,594
Essence Parfums,509055.38,416
Empório Du Homem,423201.04,252
Pittol,413511.42,1142
Youcom,399743.94,858
Calvin Klein e Tommy Hilfiger,392689.0,394
Békko,323673.84,334
Colcci,288561.89,190
Beagle,275725.24,456
Arezzo,260392.16,413
Farm,249555.52,317
Cobasi,233269.82,948
Las Leñas Parrilla Uruguaya,232431.24,127
