quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,8.0,1.0,395.46200000000005,Neumarkt Shopping
40%,15.0,2.0,737.734,Neumarkt Shopping
60%,41.0,4.0,1339.9660000000001,Neumarkt Shopping
80%,212.0,9.0,2807.544,Neumarkt Shopping
20%,9.0,1.0,369.9,Garten Shopping
40%,17.0,2.0,650.46,Garten Shopping
60%,44.0,4.0,1114.4979999999998,Garten Shopping
80%,217.0,7.0,2145.016000000001,Garten Shopping
20%,8.0,1.0,361.018,Continente Shopping
40%,19.0,2.0,642.73,Continente Shopping
60%,95.0,4.0,1079.348,Continente Shopping
80%,222.0,7.0,2081.812000000001,Continente Shopping
20%,9.0,1.0,319.98,Norte Shopping
40%,22.0,2.0,539.99,Norte Shopping
60%,72.0,3.0,932.0800000000002,Norte Shopping
80%,215.0,6.0,1902.6040000000014,Norte Shopping
20%,30.0,1.0,303.9,Nações Shopping
40%,48.0,2.0,499.9,Nações Shopping
60%,202.0,3.0,859.6800000000001,Nações Shopping
80%,227.0,6.0,1678.19,Nações Shopping
20%,8.0,1.0,438.89799999999997,Balneário Shopping
40%,18.0,2.0,822.9920000000001,Balneário Shopping
60%,46.0,4.0,1472.944,Balneário Shopping
80%,214.0,6.0,3053.2440000000033,Balneário Shopping
