segmento,valor,clientes
Moda,1624274.3800000001,2573
Calçados,469617.24,1024
Joalheria,443642.07,296
Gastronomia,442957.69,2404
Beleza e Bem-estar,424536.06,1381
Casa e Decoração,386199.26,1037
Moda Feminina,342616.56,446
Esportes,331195.93,734
Telefonia,231796.1,91
Ótica,202798.71,160
Serviços,171458.77000000002,434
Livrarias,163668.3,918
Eletrônicos,150468.27,133
Papelaria,148820.11,682
Presentes e Acessórios,144715.46,428
Infantil,93723.63,351
Pets,49597.3,278
Eletrodomésticos,37441.77,485
Farmácias,36220.99,302
Gastronomia - Restaurante,17915.4,64
