cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
168,155.34,1,12,Continente Shopping,Feminino,Gastronomia,3,1,2,6,Pontual
617,9.99,1,6,Garten Shopping,Feminino,Farmácias,3,1,1,5,Pontual
1278,2048.5,2,27,Balneário Shopping,Feminino,Moda,1,4,5,10,Premium
1496,657.5,1,11,Balneário Shopping,Masculino,Moda,3,1,3,7,Potencial
1705,508.5,2,22,Balneário Shopping,Feminino,Moda,1,4,3,8,Potencial
2374,159.0,1,26,Balneário Shopping,Masculino,Moda,1,1,1,3,Pontual
2916,379.5,1,3,Balneário Shopping,Feminino,Moda,5,1,2,8,Potencial
4698,887.5,1,12,Balneário Shopping,Feminino,Moda,3,1,4,8,Potencial
4882,1546.5,1,3,Balneário Shopping,Feminino,Moda,5,1,5,11,Premium
4898,279.5,1,4,Balneário Shopping,Feminino,Moda,5,1,2,8,Potencial
5116,156.8,1,14,Continente Shopping,Masculino,Beleza e Bem-estar,3,1,2,6,Pontual
6270,1744.2,1,1,Balneário Shopping,Feminino,Moda Feminina,5,1,5,11,Premium
6499,112.19,1,6,Neumarkt Shopping,Feminino,Eletrodomésticos,4,1,2,7,Potencial
6855,463.97,1,17,Continente Shopping,Masculino,Moda,2,1,4,7,Potencial
6910,965.0,3,27,Balneário Shopping,Feminino,Moda,1,5,4,10,Premium
8311,334.43,6,1,Continente Shopping,Feminino,Gastronomia,5,5,3,13,VIP
10378,6736.0,1,28,Neumarkt Shopping,Masculino,Telefonia,1,1,5,7,Potencial
12640,628.0,2,16,Balneário Shopping,Feminino,Moda,2,4,3,9,Potencial
14583,2468.2,1,7,Continente Shopping,Feminino,Telefonia,4,1,5,10,Premium
15737,600.0,1,20,Continente Shopping,Feminino,Telefonia,2,1,4,7,Potencial
16663,299.99,1,28,Continente Shopping,Masculino,Moda,1,1,3,5,Pontual
17176,2092.75,4,6,Balneário Shopping,Feminino,Moda,4,5,5,14,VIP
17655,627.0,2,0,Balneário Shopping,Masculino,Moda,5,4,3,12,Premium
18973,55.9,1,3,Neumarkt Shopping,Feminino,Beleza e Bem-estar,5,1,1,7,Potencial
19743,418.5,1,7,Balneário Shopping,Feminino,Moda,4,1,2,7,Potencial
19849,1077.0,3,4,Balneário Shopping,Masculino,Moda,5,5,4,14,VIP
19894,216.96,2,9,Neumarkt Shopping,Feminino,Calçados,2,3,3,8,Potencial
20620,264.0,1,3,Neumarkt Shopping,Masculino,Beleza e Bem-estar,5,1,3,9,Potencial
20643,25.0,1,3,Balneário Shopping,Feminino,Gastronomia,5,1,1,7,Potencial
20651,2043.0,3,0,Balneário Shopping,Feminino,Moda,5,5,5,15,VIP
20698,907.4,1,15,Balneário Shopping,Masculino,Beleza e Bem-estar,2,1,4,7,Potencial
21069,133.0,1,28,Continente Shopping,Feminino,Joalheria,1,1,2,4,Pontual
21110,1161.77,2,7,Continente Shopping,Feminino,Calçados,4,4,5,13,VIP
21352,379.5,1,1,Balneário Shopping,Feminino,Moda,5,1,2,8,Potencial
21460,898.5,3,16,Balneário Shopping,Feminino,Moda,2,5,4,11,Premium
21747,379.5,1,3,Balneário Shopping,Feminino,Moda,5,1,2,8,Potencial
21808,129.0,1,4,Balneário Shopping,Feminino,Moda,5,1,1,7,Potencial
22636,894.5,2,6,Balneário Shopping,Feminino,Moda,4,4,4,12,Premium
22787,1643.5,1,24,Balneário Shopping,Masculino,Moda,1,1,5,7,Potencial
22800,1887.0,1,12,Balneário Shopping,Feminino,Moda,3,1,5,9,Potencial
23018,93.7,1,6,Neumarkt Shopping,Feminino,Beleza e Bem-estar,3,1,1,5,Pontual
23932,681.78,2,3,Neumarkt Shopping,Feminino,Infantil,5,3,4,12,Premium
24142,236.41,3,8,Neumarkt Shopping,Masculino,Casa e Decoração,3,4,3,10,Premium
24279,148.5,1,11,Balneário Shopping,Feminino,Moda,3,1,1,5,Pontual
24321,1693.0,1,22,Balneário Shopping,Masculino,Moda,1,1,5,7,Potencial
24912,399.97,1,18,Balneário Shopping,Masculino,Casa e Decoração,2,1,2,5,Pontual
25218,334.5,1,3,Balneário Shopping,Masculino,Moda,5,1,2,8,Potencial
25659,458.0,1,23,Balneário Shopping,Feminino,Moda,1,1,3,5,Pontual
25686,492.98,2,5,Continente Shopping,Feminino,Esportes,4,4,4,12,Premium
26871,599.0,1,9,Balneário Shopping,Masculino,Joalheria,3,1,3,7,Potencial
27302,273.73,1,26,Balneário Shopping,Feminino,Gastronomia,1,1,2,4,Pontual
27431,703.5,1,2,Balneário Shopping,Feminino,Moda,5,1,4,10,Premium
27839,201.0,1,5,Balneário Shopping,Masculino,Moda,4,1,1,6,Pontual
28284,2098.0,1,3,Neumarkt Shopping,Feminino,Telefonia,5,1,5,11,Premium
28906,149.99,1,12,Balneário Shopping,Masculino,Moda,3,1,1,5,Pontual
29585,592.38,5,6,Garten Shopping,Feminino,Calçados,3,5,3,11,Premium
29669,626.48,7,10,Neumarkt Shopping,Feminino,Casa e Decoração,2,5,4,11,Premium
30285,997.5,2,11,Balneário Shopping,Feminino,Moda,3,4,4,11,Premium
30292,817.5,2,22,Balneário Shopping,Feminino,Moda,1,4,4,9,Potencial
31359,244.5,1,6,Balneário Shopping,Feminino,Moda,4,1,1,6,Pontual
31383,2708.0,2,8,Neumarkt Shopping,Masculino,Gastronomia,3,4,5,12,Premium
31789,438.5,1,7,Balneário Shopping,Feminino,Moda,4,1,3,8,Potencial
32036,776.0,1,10,Balneário Shopping,Feminino,Moda,3,1,4,8,Potencial
32348,258.5,1,17,Balneário Shopping,Feminino,Moda,2,1,1,4,Pontual
32586,641.42,3,5,Continente Shopping,Feminino,Beleza e Bem-estar,4,5,4,13,VIP
33489,229.99,1,0,Continente Shopping,Masculino,Moda,5,1,2,8,Potencial
34423,159.0,1,4,Balneário Shopping,Feminino,Moda,5,1,1,7,Potencial
36441,750.5,1,6,Balneário Shopping,Feminino,Moda,4,1,4,9,Potencial
36636,358.5,2,27,Balneário Shopping,Feminino,Moda,1,4,2,7,Potencial
37937,616.5,2,10,Balneário Shopping,Feminino,Moda,3,4,3,10,Premium
38080,229.0,1,4,Balneário Shopping,Masculino,Moda,5,1,1,7,Potencial
39450,849.98,1,14,Balneário Shopping,Masculino,Calçados,2,1,4,7,Potencial
40429,3510.4,12,4,Neumarkt Shopping,Feminino,Gastronomia,4,5,5,14,VIP
41029,917.0,3,18,Balneário Shopping,Masculino,Moda,2,5,4,11,Premium
41054,566.5,1,24,Balneário Shopping,Feminino,Moda,1,1,3,5,Pontual
41276,139.99,1,7,Balneário Shopping,Feminino,Farmácias,4,1,1,6,Pontual
41507,339.95,1,4,Continente Shopping,Feminino,Moda,5,1,3,9,Potencial
41849,264.5,1,7,Balneário Shopping,Feminino,Calçados,4,1,2,7,Potencial
42458,200.0,2,0,Balneário Shopping,Feminino,Moda,5,4,1,10,Premium
44898,757.5,1,3,Balneário Shopping,Masculino,Moda,5,1,4,10,Premium
45039,637.5,1,23,Balneário Shopping,Feminino,Moda,1,1,3,5,Pontual
45639,288.0,2,5,Balneário Shopping,Masculino,Moda,4,4,2,10,Premium
47587,194.5,1,24,Balneário Shopping,Feminino,Moda,1,1,1,3,Pontual
47963,1841.5,1,4,Balneário Shopping,Feminino,Moda,5,1,5,11,Premium
49044,19.99,1,9,Continente Shopping,Feminino,Calçados,3,1,1,5,Pontual
50170,125.94999999999999,2,0,Continente Shopping,Feminino,Moda,5,4,2,11,Premium
52099,249.45,1,11,Nações Shopping,Masculino,Calçados,4,1,2,7,Potencial
53071,152.98,1,28,Continente Shopping,Feminino,Moda,1,1,2,4,Pontual
53075,412.1,2,11,Neumarkt Shopping,Nao Informado,Joalheria,2,4,4,10,Premium
53185,2083.0,1,25,Balneário Shopping,Feminino,Moda,1,1,5,7,Potencial
53831,866.24,21,4,Nações Shopping,Feminino,Gastronomia,5,5,5,15,VIP
54221,138.5,1,10,Balneário Shopping,Feminino,Moda,3,1,1,5,Pontual
56465,159.5,1,15,Balneário Shopping,Masculino,Moda,2,1,1,4,Pontual
57019,299.5,1,25,Balneário Shopping,Feminino,Moda,1,1,2,4,Pontual
57491,51.38,1,14,Neumarkt Shopping,Feminino,Pets,1,1,1,3,Pontual
57576,861.88,2,3,Garten Shopping,Feminino,Calçados,5,4,4,13,VIP
