sigla,faixa_etaria,qtd_clientes,pct_clientes,valor_total
BS,25-39 (Millennials),96,38.70967741935484,48790.82
BS,55-69 (Boomers),36,14.516129032258066,32690.46
BS,40-54 (Gen X),107,43.145161290322584,124483.07999999999
BS,16-24 (Gen Z),4,1.6129032258064515,1210.28
BS,Nao Informado,1,0.4032258064516129,537.01
BS,70+ (Silent),4,1.6129032258064515,1359.69
CS,40-54 (Gen X),472,46.00389863547758,452846.51
CS,55-69 (Boomers),142,13.840155945419102,129190.01999999999
CS,25-39 (Millennials),353,34.40545808966861,298237.58
CS,16-24 (Gen Z),35,3.41130604288499,29067.510000000002
CS,70+ (Silent),24,2.3391812865497075,17538.940000000002
NK,25-39 (Millennials),36,28.799999999999997,31468.46
NK,40-54 (Gen X),67,53.6,67442.35
NK,16-24 (Gen Z),2,1.6,298.84000000000003
NK,55-69 (Boomers),16,12.8,6964.46
NK,70+ (Silent),4,3.2,8055.999999999999
GS,40-54 (Gen X),24,48.97959183673469,21450.17
GS,25-39 (Millennials),20,40.816326530612244,8774.13
GS,55-69 (Boomers),4,8.16326530612245,4313.52
GS,70+ (Silent),1,2.0408163265306123,978.87
NR,25-39 (Millennials),55,46.21848739495798,30131.829999999998
NR,16-24 (Gen Z),3,2.5210084033613445,698.5999999999999
NR,40-54 (Gen X),40,33.61344537815126,87054.28
NR,55-69 (Boomers),18,15.126050420168067,51233.469999999994
NR,70+ (Silent),3,2.5210084033613445,3637.81
NS,40-54 (Gen X),21,43.75,7590.95
NS,55-69 (Boomers),5,10.416666666666668,2345.21
NS,25-39 (Millennials),21,43.75,8782.11
NS,16-24 (Gen Z),1,2.083333333333333,43.0
