quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,6.0,1.0,209.636,Neumarkt Shopping
40%,13.200000000000045,2.0,415.18399999999997,Neumarkt Shopping
60%,20.0,3.0,744.6419999999999,Neumarkt Shopping
80%,25.0,5.0,1399.5900000000006,Neumarkt Shopping
20%,6.0,1.0,153.12800000000001,Nações Shopping
40%,11.0,2.0,334.954,Nações Shopping
60%,19.0,3.0,540.612,Nações Shopping
80%,25.0,5.0,928.3200000000003,Nações Shopping
20%,6.0,1.0,199.0,Continente Shopping
40%,13.0,2.0,387.5000000000001,Continente Shopping
60%,21.0,3.0,659.654,Continente Shopping
80%,26.0,5.0,1248.928000000001,Continente Shopping
20%,5.0,1.0,192.38,Garten Shopping
40%,12.0,2.0,399.9,Garten Shopping
60%,19.0,3.0,671.13,Garten Shopping
80%,25.0,5.0,1228.962,Garten Shopping
20%,5.0,1.0,315.46,Balneário Shopping
40%,12.0,2.0,609.84,Balneário Shopping
60%,19.0,3.0,1040.991999999999,Balneário Shopping
80%,25.0,5.0,1840.146,Balneário Shopping
20%,6.0,1.0,178.33200000000005,Norte Shopping
40%,13.0,2.0,400.586,Norte Shopping
60%,20.0,3.0,701.1919999999999,Norte Shopping
80%,25.0,4.2000000000000455,1287.5420000000006,Norte Shopping
