faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,8452.03,38
Boomers (1946-1964),Quarta,20367.29,48
Boomers (1946-1964),Quinta,14528.65,60
Boomers (1946-1964),Sabado,14561.81,60
Boomers (1946-1964),Segunda,5550.5199999999995,32
Boomers (1946-1964),Sexta,9677.78,61
Boomers (1946-1964),Terca,2275.03,19
Gen X (1965-1980),Domingo,87339.66,363
Gen X (1965-1980),Quarta,47531.61,244
Gen X (1965-1980),Quinta,73304.44,359
Gen X (1965-1980),Sabado,89405.99,360
Gen X (1965-1980),Segunda,68409.72,351
Gen X (1965-1980),Sexta,67125.35,331
Gen X (1965-1980),Terca,59561.34,271
Gen Z (1997-2012),Domingo,40502.1,206
Gen Z (1997-2012),Quarta,16476.02,127
Gen Z (1997-2012),Quinta,22711.52,156
Gen Z (1997-2012),Sabado,26399.2,139
Gen Z (1997-2012),Segunda,23176.579999999998,105
Gen Z (1997-2012),Sexta,30865.3,100
Gen Z (1997-2012),Terca,19756.98,106
Millennials (1981-1996),Domingo,152612.17,709
Millennials (1981-1996),Quarta,81237.18,455
Millennials (1981-1996),Quinta,130703.71,641
Millennials (1981-1996),Sabado,120889.44,694
Millennials (1981-1996),Segunda,122575.75,556
Millennials (1981-1996),Sexta,105697.37,593
Millennials (1981-1996),Terca,86345.11,495
