sigla,segmento,valor,clientes
CS,Moda,1163045.19,1692
CS,Joalheria,444188.29,220
CS,Calçados,252993.01,567
CS,Telefonia,226397.23,60
CS,Beleza e Bem-estar,142177.58,590
CS,Eletrodomésticos,141414.8,240
CS,Gastronomia,139037.68,877
CS,Esportes,127057.24,369
CS,Casa e Decoração,96036.14,168
CS,Moda Feminina,91008.95,158
CS,Ótica,61432.46,62
CS,Infantil,55944.95,177
CS,Eletrônicos,48288.21,27
CS,Papelaria,30121.85,167
CS,Presentes e Acessórios,29405.12,114
CS,Pets,27850.64,172
CS,Livrarias,20935.25,168
CS,Farmácias,14815.97,159
CS,Gastronomia - Restaurante,794.0,8
CS,Lazer,716.0,14
BS,Moda,1375105.21,1515
BS,Joalheria,553055.26,197
BS,Beleza e Bem-estar,315906.72000000003,727
BS,Calçados,300036.51,451
BS,Moda Feminina,205936.59,149
BS,Infantil,104941.76000000001,290
BS,Gastronomia,94701.24,568
BS,Eletrônicos,89452.95,42
BS,Telefonia,65115.0,17
BS,Casa e Decoração,64546.84,91
BS,Ótica,55565.87,56
BS,Presentes e Acessórios,50935.27,170
BS,Eletrodomésticos,49665.27,27
BS,Esportes,48329.28,93
BS,Papelaria,24900.68,100
BS,Livrarias,21250.46,169
BS,Supermercado,8015.59,103
BS,Suplementos esportivos,3198.91,4
BS,Gastronomia - Restaurante,855.0,14
BS,Lazer,444.0,10
NK,Moda,812535.27,1256
NK,Joalheria,316129.03,204
NK,Beleza e Bem-estar,196884.26,546
NK,Calçados,175574.05,416
NK,Moda Feminina,144441.6,151
NK,Ótica,139630.74,59
NK,Presentes e Acessórios,120819.9,200
NK,Casa e Decoração,119259.87,359
NK,Telefonia,106300.32,32
NK,Gastronomia,102945.22,661
NK,Esportes,98623.35,217
NK,Eletrônicos,70439.38,47
NK,Serviços,57009.74,3
NK,Livrarias,36652.96,245
NK,Infantil,27559.010000000002,122
NK,Papelaria,24584.14,165
NK,Farmácias,19929.21,140
NK,Pets,17932.25,118
NK,Eletrodomésticos,14910.57,160
NK,Lazer,1463.07,24
NR,Moda,231853.0,499
NR,Casa e Decoração,128502.23,299
NR,Eletrodomésticos,100272.99,133
NR,Eletrônicos,82899.46,38
NR,Esportes,76849.72,190
NR,Beleza e Bem-estar,73827.99,252
NR,Telefonia,67989.9,35
NR,Calçados,62030.5,180
NR,Supermercado,44102.33,179
NR,Joalheria,37440.67,76
NR,Gastronomia,24032.47,218
NR,Pets,19594.079999999998,137
NR,Serviços,14411.67,2
NR,Infantil,13517.87,62
NR,Papelaria,12944.85,86
NR,Livrarias,9119.52,58
NR,Ótica,4969.57,9
NR,Presentes e Acessórios,2822.77,35
NR,Lazer,1562.52,7
NR,Gastronomia - Sorvetes,1111.35,36
GS,Moda,1128062.1,1728
GS,Joalheria,539552.89,285
GS,Calçados,253207.11,585
GS,Esportes,202321.55000000002,427
GS,Casa e Decoração,147940.05,453
GS,Beleza e Bem-estar,141466.15,388
GS,Gastronomia,126482.66,964
GS,Moda Feminina,107611.99,126
GS,Presentes e Acessórios,106380.23,415
GS,Telefonia,93924.78,33
GS,Eletrônicos,59959.56,51
GS,Ótica,50623.39,53
GS,Farmácias,40337.8,214
GS,Infantil,39549.19,213
GS,Eletrodomésticos,24255.78,17
GS,Papelaria,23987.989999999998,154
GS,Livrarias,20764.09,175
GS,Pets,18071.71,158
GS,Serviços,4662.36,2
GS,Kids,2775.3,37
NS,Moda,584312.37,869
NS,Esportes,119421.13,215
NS,Joalheria,97072.96,82
NS,Eletrônicos,88429.13,23
NS,Calçados Femininos,77649.70999999999,90
NS,Beleza e Bem-estar,77141.03,363
NS,Calçados,64835.64,168
NS,Casa e Decoração,58121.909999999996,216
NS,Gastronomia,42659.55,296
NS,Infantil,25491.84,116
NS,Pets,21774.4,133
NS,Livrarias,14142.87,99
NS,Outros,5034.9,18
NS,Presentes e Acessórios,3957.5,23
NS,Papelaria,3652.34,33
NS,Eletrodomésticos,3557.04,59
NS,Ótica,947.0,4
NS,Lazer,638.0,12
NS,Farmácias,169.87,3
