segmento,valor,clientes
Casa e Decoração,507232.26,567
Moda,421922.54,680
Eletrodomésticos,399977.61,322
Telefonia,159006.58,80
Calçados,140509.82,328
Beleza e Bem-estar,139847.45,417
Supermercado,135900.36000000002,281
Esportes,123128.92,226
Eletrônicos,104812.59,54
Serviços,94132.03,218
Outros,65466.99,39
Gastronomia,44359.72,341
Joalheria,42658.14,62
Papelaria,32403.22,85
Ótica,30603.03,39
Infantil,27860.97,89
Pets,17198.03,102
Livrarias,11555.61,76
Presentes e Acessórios,8656.2,51
Gastronomia - Sorvetes,1224.55,43
