cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
122,96.83,3,12,Neumarkt Shopping,Masculino,Eletrodomésticos,2,3,1,6,Pontual
136,543.96,4,16,Garten Shopping,Masculino,Casa e Decoração,1,4,3,8,Potencial
137,549.9100000000001,2,6,Garten Shopping,Masculino,Moda,4,2,3,9,Potencial
151,2221.41,23,0,Neumarkt Shopping,Masculino,Gastronomia,5,5,5,15,VIP
152,758.45,3,10,Garten Shopping,Feminino,Calçados,3,3,3,9,Potencial
164,540.6,3,11,Nações Shopping,Feminino,Beleza e Bem-estar,2,3,3,8,Potencial
169,247.77,6,2,Continente Shopping,Masculino,Gastronomia,5,5,1,11,Premium
177,164.95999999999998,4,1,Nações Shopping,Feminino,Gastronomia,5,4,1,10,Premium
195,1958.27,16,2,Continente Shopping,Feminino,Beleza e Bem-estar,5,5,5,15,VIP
218,234.29000000000002,2,21,Garten Shopping,Masculino,Esportes,1,2,1,4,Pontual
234,488.3,1,0,Neumarkt Shopping,Feminino,Moda Feminina,5,1,2,8,Potencial
235,1800.1,14,1,Continente Shopping,Masculino,Gastronomia,5,5,5,15,VIP
241,2219.1800000000003,3,17,Balneário Shopping,Feminino,Calçados,1,3,5,9,Potencial
249,112.97,1,29,Norte Shopping,Masculino,Casa e Decoração,1,1,1,3,Pontual
259,1164.32,5,5,Neumarkt Shopping,Masculino,Gastronomia,4,5,4,13,VIP
266,872.1700000000001,8,13,Norte Shopping,Feminino,Livrarias,2,5,4,11,Premium
281,1729.1399999999999,6,0,Balneário Shopping,Feminino,Gastronomia,5,5,5,15,VIP
286,97.99,2,6,Norte Shopping,Masculino,Esportes,4,2,1,7,Potencial
287,1299.17,5,7,Neumarkt Shopping,Masculino,Livrarias,3,5,4,12,Premium
304,1077.96,4,0,Neumarkt Shopping,Masculino,Esportes,5,4,4,13,VIP
320,649.78,3,6,Neumarkt Shopping,Feminino,Moda,4,3,3,10,Premium
336,1761.0,2,22,Neumarkt Shopping,Feminino,Beleza e Bem-estar,1,2,5,8,Potencial
349,4294.1,21,0,Norte Shopping,Masculino,Gastronomia,5,5,5,15,VIP
354,414.92,1,15,Neumarkt Shopping,Masculino,Casa e Decoração,2,1,2,5,Pontual
375,463.37,8,1,Garten Shopping,Feminino,Gastronomia,5,5,2,12,Premium
413,309.0,2,14,Continente Shopping,Masculino,Moda,2,2,1,5,Pontual
432,40.0,1,0,Nações Shopping,Masculino,Livrarias,5,1,1,7,Potencial
568,2735.3,15,1,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
582,69.99,1,6,Garten Shopping,Masculino,Moda,4,1,1,6,Pontual
607,3152.6,3,23,Balneário Shopping,Feminino,Beleza e Bem-estar,1,3,5,9,Potencial
610,168.12,5,28,Neumarkt Shopping,Masculino,Gastronomia,1,5,1,7,Potencial
617,281.90000000000003,8,9,Garten Shopping,Feminino,Gastronomia,3,5,1,9,Potencial
618,76.0,1,0,Norte Shopping,Feminino,Beleza e Bem-estar,5,1,1,7,Potencial
629,728.02,4,19,Balneário Shopping,Feminino,Beleza e Bem-estar,1,4,3,8,Potencial
649,463.59000000000003,13,3,Continente Shopping,Masculino,Gastronomia,4,5,2,11,Premium
694,319.98,1,11,Nações Shopping,Masculino,Moda,2,1,2,5,Pontual
698,1666.9,3,5,Balneário Shopping,Masculino,Beleza e Bem-estar,4,3,5,12,Premium
736,1783.74,13,10,Norte Shopping,Masculino,Gastronomia,3,5,5,13,VIP
741,381.59,4,6,Continente Shopping,Feminino,Beleza e Bem-estar,4,4,2,10,Premium
769,854.67,5,21,Balneário Shopping,Feminino,Beleza e Bem-estar,1,5,4,10,Premium
770,350.36,5,18,Norte Shopping,Masculino,Gastronomia,1,5,2,8,Potencial
848,200.7,1,4,Continente Shopping,Feminino,Beleza e Bem-estar,4,1,1,6,Pontual
878,625.4,5,4,Garten Shopping,Feminino,Moda,4,5,3,12,Premium
901,1302.6,6,0,Garten Shopping,Feminino,Calçados,5,5,4,14,VIP
950,4156.27,8,1,Neumarkt Shopping,Masculino,Moda,5,5,5,15,VIP
