segmento,valor,clientes
Moda,1246264.33,2696
Eletrodomésticos,883026.25,963
Casa e Decoração,665089.12,1460
Beleza e Bem-estar,518722.72000000003,1856
Eletrônicos,493940.73,241
Esportes,396414.96,959
Calçados,353262.66000000003,1006
Serviços,349597.85,669
Supermercado,323194.61,967
Telefonia,287305.88,112
Infantil,261722.41,811
Gastronomia,232737.43,1728
Joalheria,183502.23,148
Ótica,139886.33,201
Presentes e Acessórios,108978.34,567
Papelaria,97214.69,485
Pets,76935.32,499
Outros,66212.0,51
Livrarias,64522.8,432
Gastronomia - Sorvetes,5745.75,178
