loja,valor,clientes
Renner,176594.75,540
Vivara,130268.55,40
Nike Unite,125758.87000000001,256
Magazine Luiza,120553.49,73
Centauro,97349.16,258
C&A,93289.36,313
Decathlon,88325.1,321
Vivo,84405.0,21
Riachuelo,78983.11,325
Kalunga,66094.7,328
Livrarias Catarinense,54248.63,354
Claro,50562.96,12
iPlace Mobile,48451.869999999995,21
Ri Happy Baby,47194.33,187
Empório Du Homem,38536.97,61
Óticas Carol,36001.85,24
Madero,34065.66,142
DEMOCRATA,33528.92,69
Live!,33230.47,48
Carioca Calçados,32979.62,102
