segmento,valor,clientes
Moda,784411.36,1342
Beleza e Bem-estar,207124.79,743
Casa e Decoração,199662.07,608
Joalheria,186524.02,114
Gastronomia,181898.16,1187
Calçados,142211.43,421
Esportes,134179.94,354
Eletrônicos,130399.38,77
Moda Feminina,121813.85,159
Ótica,106605.89,78
Telefonia,88130.25,28
Presentes e Acessórios,82463.42,200
Livrarias,81820.26,439
Papelaria,73818.36,372
Serviços,66007.4,309
Infantil,59975.840000000004,188
Farmácias,39370.93,224
Pets,28242.42,159
Eletrodomésticos,20513.44,257
Salão de Beleza | Barbearia,3909.0,14
