faixa_etaria,segmento,valor,clientes,ranking
Millennials (1981-1996),Moda,340876.04,711,1
Millennials (1981-1996),Gastronomia,128166.27,851,2
Millennials (1981-1996),Joalheria,77927.07,53,3
Millennials (1981-1996),Beleza e Bem-estar,73488.46,296,4
Millennials (1981-1996),Calçados,62986.13,205,5
Gen X (1965-1980),Moda,171537.09,334,1
Gen X (1965-1980),Gastronomia,73789.35,388,2
Gen X (1965-1980),Beleza e Bem-estar,43466.63,158,3
Gen X (1965-1980),Calçados,31609.25,82,4
Gen X (1965-1980),Casa e Decoração,23438.35,87,5
Gen Z (1997-2012),Moda,84492.28,165,1
Gen Z (1997-2012),Gastronomia,24519.03,219,2
Gen Z (1997-2012),Casa e Decoração,16743.82,51,3
Gen Z (1997-2012),Beleza e Bem-estar,16157.85,94,4
Gen Z (1997-2012),Presentes e Acessórios,11355.99,29,5
Boomers (1946-1964),Moda,19201.23,40,1
Boomers (1946-1964),Gastronomia,10421.119999999999,40,2
Boomers (1946-1964),Joalheria,6711.58,2,3
Boomers (1946-1964),Moda Feminina,5911.89,7,4
Boomers (1946-1964),Beleza e Bem-estar,3992.6,15,5
Nao Informado,Gastronomia,84.95,1,1
Nao Informado,Eletrodomésticos,48.0,1,2
Silent (antes 1946),Beleza e Bem-estar,108.0,1,1
Silent (antes 1946),Gastronomia,26.0,1,2
