segmento,valor,clientes
Moda,3890878.56,5483
Telefonia,763441.72,201
Calçados,738246.51,1655
Joalheria,689061.91,365
Gastronomia,594886.18,3263
Esportes,577610.41,1338
Beleza e Bem-estar,455000.59,1595
Ótica,443983.3,265
Eletrodomésticos,290133.71,524
Casa e Decoração,213041.4,324
Moda Feminina,182738.99,231
Não informado,180125.94,240
Presentes e Acessórios,128564.2,391
Eletrônicos,126781.7,84
Infantil,68789.64,326
Livrarias,68767.41,552
Pets,66735.14,368
Papelaria,61936.08,466
Farmácias,48620.65,428
Serviços,17280.41,515
