segmento,valor,clientes
Moda,234085.16,401
Gastronomia,124083.8,464
Beleza e Bem-estar,28069.23,137
Esportes,27928.29,69
Farmácias,27267.97,128
Calçados,26424.35,65
Casa e Decoração,24316.19,103
Eletrônicos,22186.9,4
Joalheria,15836.970000000001,15
Infantil,9203.67,54
Pets,8730.66,68
Livrarias,7492.39,87
Eletrodomésticos,6675.0,111
Não informado,3723.16,31
Hub da Saúde,3006.0,1
Ótica,2205.87,4
Calçados Femininos,1827.9,3
Presentes e Acessórios,1452.45,7
Gastronomia - Sorvetes,1343.7,31
Outros,1167.0,4
