sigla,genero,qtd_clientes,pct_clientes,valor_total
CS,Masculino,424,26.616446955430007,346385.82999999996
CS,Feminino,1162,72.9441305712492,955408.1799999999
CS,Nao Informado,4,0.25109855618330196,7296.609999999999
CS,Outro,3,0.18832391713747645,1223.04
BS,Feminino,936,77.67634854771785,1013016.5399999999
BS,Masculino,263,21.82572614107884,337797.80000000005
BS,Nao Informado,2,0.16597510373443983,528.0
BS,Outro,4,0.33195020746887965,2853.82
NK,Masculino,405,25.568181818181817,349978.74
NK,Feminino,1174,74.11616161616162,1030219.74
NK,Nao Informado,4,0.25252525252525254,1874.3300000000006
NK,Outro,1,0.06313131313131314,3085.0
NR,Masculino,484,29.711479435236342,347001.62
NR,Feminino,1140,69.9815837937385,708936.55
NR,Nao Informado,4,0.24554941682013504,604.46
NR,Outro,1,0.06138735420503376,146.62
GS,Feminino,622,76.50676506765068,477242.75
GS,Masculino,191,23.493234932349324,108778.23
NS,Feminino,600,70.4225352112676,388722.56000000006
NS,Masculino,247,28.9906103286385,189208.91
NS,Nao Informado,4,0.4694835680751174,1782.6899999999998
NS,Outro,1,0.11737089201877934,26.0
