segmento,valor,clientes
Moda,466161.53,580
Moda Feminina,147347.02,27
Beleza e Bem-estar,125806.74,262
Gastronomia,102806.9,559
Joalheria,67900.83,42
Infantil,63889.88,197
Calçados,56535.8,132
Eletrônicos,56327.65,12
Presentes e Acessórios,40966.86,105
Casa e Decoração,34377.02,56
Calçados Femininos,32380.38,56
Esportes,31630.82,92
Ótica,23812.03,17
Livrarias,17345.77,129
Telefonia,13536.48,4
Eletrodomésticos,9465.98,7
Farmácias,6411.83,60
Lazer,4877.0,20
Serviços,2219.0,45
Suplementos esportivos,972.5,7
