perfil;shopping;genero;ranking;loja;valor;pct_valor;cupons;clientes
Premium;Balneário Shopping;Feminino;1;Renner;6420,12;19,0;34;21
Premium;Balneário Shopping;Feminino;2;Centauro;5178,16;15,32;13;10
Premium;Balneário Shopping;Feminino;3;Zara;4723,0;13,97;10;8
Premium;Balneário Shopping;Feminino;4;C&A;4351,5;12,87;17;14
Premium;Balneário Shopping;Feminino;5;Sephora;2852,25;8,44;14;10
Premium;Balneário Shopping;Feminino;6;Riachuelo;2387,59;7,06;17;15
Premium;Balneário Shopping;Feminino;7;Criamigos;2124,07;6,28;5;3
Premium;Balneário Shopping;Feminino;8;Tania Bulhões;2056,0;6,08;2;2
Premium;Balneário Shopping;Feminino;9;Shoulder;1897,0;5,61;2;2
Premium;Balneário Shopping;Feminino;10;Track&Field;1809,3;5,35;4;2
Premium;Balneário Shopping;Masculino;1;Claro S/a;4905,48;17,59;1;1
Premium;Balneário Shopping;Masculino;2;Moncloa;4892,0;17,54;5;1
Premium;Balneário Shopping;Masculino;3;Bagaggio;3049,3;10,93;1;1
Premium;Balneário Shopping;Masculino;4;BOSS;2900,0;10,4;1;1
Premium;Balneário Shopping;Masculino;5;Track&Field;2458,5;8,82;2;1
Premium;Balneário Shopping;Masculino;6;Renner;2331,7;8,36;10;9
Premium;Balneário Shopping;Masculino;7;Rayban;2280,0;8,18;1;1
Premium;Balneário Shopping;Masculino;8;Clifield;2097,0;7,52;1;1
Premium;Balneário Shopping;Masculino;9;Brooksfield;1567,6799999999998;5,62;2;2
Premium;Balneário Shopping;Masculino;10;Panvel Farmácias;1407,36;5,05;3;3
Premium;Continente Shopping;Feminino;1;C&A;12026,66;22,03;42;36
Premium;Continente Shopping;Feminino;2;Renner;6921,95;12,68;31;28
Premium;Continente Shopping;Feminino;3;Nike Unite;5642,02;10,34;9;7
Premium;Continente Shopping;Feminino;4;Centauro;5312,73;9,73;18;12
Premium;Continente Shopping;Feminino;5;Motorola;4998,02;9,16;1;1
Premium;Continente Shopping;Feminino;6;Subway;4689,56;8,59;58;7
Premium;Continente Shopping;Feminino;7;Riachuelo;4196,74;7,69;23;20
Premium;Continente Shopping;Feminino;8;Óticas Carol;4079,8;7,47;2;2
Premium;Continente Shopping;Feminino;9;Arquipélago  Sushi;3688,0;6,76;7;3
Premium;Continente Shopping;Feminino;10;Outback Steakhouse;3030,31;5,55;17;5
Premium;Continente Shopping;Masculino;1;Centauro;6403,71;26,28;13;6
Premium;Continente Shopping;Masculino;2;Magazine Luiza;3308,24;13,57;3;1
Premium;Continente Shopping;Masculino;3;Empório Du Homem;3089,8;12,68;3;2
Premium;Continente Shopping;Masculino;4;Tommy Hilfiger;2893,0;11,87;1;1
Premium;Continente Shopping;Masculino;5;C&A;1775,83;7,29;4;3
Premium;Continente Shopping;Masculino;6;IDELI.OUI;1728,0;7,09;2;2
Premium;Continente Shopping;Masculino;7;Companhia da Moda;1675,3999999999999;6,87;2;1
Premium;Continente Shopping;Masculino;8;Usaflex ;1329,96;5,46;4;1
Premium;Continente Shopping;Masculino;9;GAMELAS E PANELLA'S;1260,5;5,17;18;6
Premium;Continente Shopping;Masculino;10;Clifield;906,3199999999999;3,72;4;3
Premium;Garten Shopping;Feminino;1;Renner;5564,95;22,55;23;19
Premium;Garten Shopping;Feminino;2;SAINT GERMAIN STORE;3857,0;15,63;7;1
Premium;Garten Shopping;Feminino;3;Tok & Stok;2458,7;9,97;2;2
Premium;Garten Shopping;Feminino;4;Pop Me;2094,05;8,49;6;5
Premium;Garten Shopping;Feminino;5;C&A;1973,76;8,0;11;10
Premium;Garten Shopping;Feminino;6;LUZ DA LUA;1909,6999999999998;7,74;2;2
Premium;Garten Shopping;Feminino;7;Havan;1895,6;7,68;9;7
Premium;Garten Shopping;Feminino;8;OJO Sol & Grau;1781,0;7,22;1;1
Premium;Garten Shopping;Feminino;9;Riachuelo;1679,46;6,81;11;11
Premium;Garten Shopping;Feminino;10;Audithorium;1459,0;5,91;1;1
Premium;Garten Shopping;Masculino;1;Havan;3862,8500000000004;19,59;7;6
Premium;Garten Shopping;Masculino;2;Brooksfield;3839,0;19,47;1;1
Premium;Garten Shopping;Masculino;3;Crocs;3368,0;17,08;1;1
Premium;Garten Shopping;Masculino;4;Renner;2286,6;11,6;10;7
Premium;Garten Shopping;Masculino;5;Centauro;1439,89;7,3;5;3
Premium;Garten Shopping;Masculino;6;Maze Skate;1299,0;6,59;1;1
Premium;Garten Shopping;Masculino;7;Hering;1049,93;5,32;2;2
Premium;Garten Shopping;Masculino;8;Feng Cheng;1047,84;5,31;10;3
Premium;Garten Shopping;Masculino;9;C&A;819,9200000000001;4,16;4;3
Premium;Garten Shopping;Masculino;10;Riachuelo;706,6700000000001;3,58;4;4
Premium;Nações Shopping;Feminino;1;C&A;9079,66;23,67;34;19
Premium;Nações Shopping;Feminino;2;Renner;6569,53;17,13;26;22
Premium;Nações Shopping;Feminino;3;Riachuelo;4537,63;11,83;22;17
Premium;Nações Shopping;Feminino;4;Me Linda;4063,66;10,6;16;11
Premium;Nações Shopping;Feminino;5;Calvin Klein e Tommy Hilfiger;3297,0;8,6;1;1
Premium;Nações Shopping;Feminino;6;Las Leñas Parrilla Uruguaya;2496,8;6,51;11;1
Premium;Nações Shopping;Feminino;7;Bagaggio;2408,38;6,28;2;1
Premium;Nações Shopping;Feminino;8;JAH Açaí;1998,97;5,21;20;6
Premium;Nações Shopping;Feminino;9;Dudalina;1953,72;5,09;2;2
Premium;Nações Shopping;Feminino;10;Fátima Bebê;1948,8;5,08;2;2
Premium;Nações Shopping;Masculino;1;Las Leñas Parrilla Uruguaya;1959,1;17,83;9;1
Premium;Nações Shopping;Masculino;2;Outback SteakHouse;1813,6399999999999;16,51;6;2
Premium;Nações Shopping;Masculino;3;Békko;1189,8;10,83;2;2
Premium;Nações Shopping;Masculino;4;Fátima Papelaria;1101,0;10,02;5;1
Premium;Nações Shopping;Masculino;5;Riachuelo;1020,95;9,29;3;3
Premium;Nações Shopping;Masculino;6;Renner;924,9;8,42;6;6
Premium;Nações Shopping;Masculino;7;Santo Boteco;837,1;7,62;3;1
Premium;Nações Shopping;Masculino;8;Cobasi;793,9300000000001;7,23;5;3
Premium;Nações Shopping;Masculino;9;JAH Açaí;738,1899999999999;6,72;7;2
Premium;Nações Shopping;Masculino;10;z Kfc;607,2;5,53;10;4
Premium;Neumarkt Shopping;Feminino;1;Renner;7753,5;19,47;37;29
Premium;Neumarkt Shopping;Feminino;2;Havan;6153,27;15,45;20;17
Premium;Neumarkt Shopping;Feminino;3;GrandVision;4588,98;11,53;1;1
Premium;Neumarkt Shopping;Feminino;4;Vivo;4098,0;10,29;2;1
Premium;Neumarkt Shopping;Feminino;5;Vialaser;3793,96;9,53;2;2
Premium;Neumarkt Shopping;Feminino;6;Livrarias Catarinense;3437,3;8,63;36;30
Premium;Neumarkt Shopping;Feminino;7;Lojas Americanas;2884,62;7,24;72;30
Premium;Neumarkt Shopping;Feminino;8;Tech Smart;2727,1;6,85;4;2
Premium;Neumarkt Shopping;Feminino;9;Óticas Carol;2252,0;5,66;1;1
Premium;Neumarkt Shopping;Feminino;10;Riachuelo;2127,53;5,34;16;15
Premium;Neumarkt Shopping;Masculino;1;Victor Hugo;3525,0;21,95;1;1
Premium;Neumarkt Shopping;Masculino;2;Renner;2327,5;14,49;12;11
Premium;Neumarkt Shopping;Masculino;3;TNG;2148,94;13,38;3;2
Premium;Neumarkt Shopping;Masculino;4;Hering Store;1649,93;10,27;4;3
Premium;Neumarkt Shopping;Masculino;5;Cia do Homem;1348,9;8,4;2;2
Premium;Neumarkt Shopping;Masculino;6;Adcos;1214,01;7,56;2;2
Premium;Neumarkt Shopping;Masculino;7;Life by Vivara;991,0;6,17;2;2
Premium;Neumarkt Shopping;Masculino;8;Hope;966,96;6,02;2;2
Premium;Neumarkt Shopping;Masculino;9;Democrata;959,6999999999999;5,98;2;2
Premium;Neumarkt Shopping;Masculino;10;Farm;926,8;5,77;2;2
Premium;Norte Shopping;Feminino;1;Atacadão;15853,2;23,47;158;53
Premium;Norte Shopping;Feminino;2;Havan;12933,43;19,15;55;38
Premium;Norte Shopping;Feminino;3;Renner;6198,63;9,18;25;21
Premium;Norte Shopping;Feminino;4;Samsung;6004,0;8,89;2;2
Premium;Norte Shopping;Feminino;5;Pittol;5975,31;8,85;23;17
Premium;Norte Shopping;Feminino;6;Centauro;5752,72;8,52;15;11
Premium;Norte Shopping;Feminino;7;Casas Bahia;5127,0;7,59;4;4
Premium;Norte Shopping;Feminino;8;Riachuelo;4305,56;6,37;18;15
Premium;Norte Shopping;Feminino;9;Paquetá;2721,83;4,03;13;8
Premium;Norte Shopping;Feminino;10;Bkko;2677,7200000000003;3,96;3;2
Premium;Norte Shopping;Masculino;1;Casas Bahia;4700,3099999999995;17,61;3;2
Premium;Norte Shopping;Masculino;2;Atacadão;3825,1800000000003;14,33;24;12
Premium;Norte Shopping;Masculino;3;Empório DuHomem;3277,4399999999996;12,28;5;2
Premium;Norte Shopping;Masculino;4;Renner;3000,26;11,24;10;7
Premium;Norte Shopping;Masculino;5;Tim;2999,0;11,24;1;1
Premium;Norte Shopping;Masculino;6;Pittol;2097,92;7,86;6;6
Premium;Norte Shopping;Masculino;7;Havan;2018,74;7,56;10;10
Premium;Norte Shopping;Masculino;8;Superlegal Brinquedos;1689,94;6,33;5;3
Premium;Norte Shopping;Masculino;9;Centauro;1570,92;5,89;7;7
Premium;Norte Shopping;Masculino;10;Riachuelo;1506,05;5,64;9;6
VIP;Balneário Shopping;Feminino;1;Zara;69539,6;18,54;156;104
VIP;Balneário Shopping;Feminino;2;Patbo;63536,78;16,94;19;2
VIP;Balneário Shopping;Feminino;3;Sephora;50790,72;13,54;102;72
VIP;Balneário Shopping;Feminino;4;Renner;47869,28;12,76;158;112
VIP;Balneário Shopping;Feminino;5;Le Lis Blanc;42560,3;11,35;12;6
VIP;Balneário Shopping;Feminino;6;iPlace Mobile;25522,0;6,8;2;1
VIP;Balneário Shopping;Feminino;7;C&A;20836,77;5,55;88;60
VIP;Balneário Shopping;Feminino;8;Track&Field;19860,77;5,29;20;15
VIP;Balneário Shopping;Feminino;9;Brooksfield;17997,59;4,8;8;6
VIP;Balneário Shopping;Feminino;10;Centauro;16620,65;4,43;57;51
VIP;Balneário Shopping;Masculino;1;iPlace Mobile;18104,11;15,39;4;4
VIP;Balneário Shopping;Masculino;2;Vivara;17080,0;14,52;3;3
VIP;Balneário Shopping;Masculino;3;BOSS;14780,0;12,57;4;4
VIP;Balneário Shopping;Masculino;4;Brooksfield;14638,28;12,45;4;4
VIP;Balneário Shopping;Masculino;5;Patbo;14507,43;12,33;5;1
VIP;Balneário Shopping;Masculino;6;Sephora;11010,96;9,36;13;10
VIP;Balneário Shopping;Masculino;7;Zara;7581,4;6,45;21;15
VIP;Balneário Shopping;Masculino;8;Magazine Luiza;7146,26;6,08;4;2
VIP;Balneário Shopping;Masculino;9;Sandra Duwe;6875,55;5,85;1;1
VIP;Balneário Shopping;Masculino;10;Samsung;5898,0;5,01;1;1
VIP;Continente Shopping;Feminino;1;Renner;34680,51;19,26;131;97
VIP;Continente Shopping;Feminino;2;Magazine Luiza;29062,0;16,14;3;3
VIP;Continente Shopping;Feminino;3;Vivo;18398,0;10,22;2;2
VIP;Continente Shopping;Feminino;4;C&A;18173,84;10,1;78;59
VIP;Continente Shopping;Feminino;5;Empório Du Homem;16787,88;9,33;25;7
VIP;Continente Shopping;Feminino;6;Lojas Americanas;14640,16;8,13;168;86
VIP;Continente Shopping;Feminino;7;Riachuelo;14494,27;8,05;65;55
VIP;Continente Shopping;Feminino;8;Claro;12246,4;6,8;3;3
VIP;Continente Shopping;Feminino;9;Centauro;11515,32;6,4;40;36
VIP;Continente Shopping;Feminino;10;Panvel Farmácias;10023,96;5,57;101;75
VIP;Continente Shopping;Masculino;1;Magazine Luiza;27877,35;28,34;11;3
VIP;Continente Shopping;Masculino;2;Óticas Carol;19479,1;19,8;2;2
VIP;Continente Shopping;Masculino;3;Renner;11716,02;11,91;33;25
VIP;Continente Shopping;Masculino;4;Claro;8128,0;8,26;1;1
VIP;Continente Shopping;Masculino;5;Nike Unite;6352,76;6,46;12;10
VIP;Continente Shopping;Masculino;6;Madero;5290,45;5,38;26;9
VIP;Continente Shopping;Masculino;7;Samsung;5196,0;5,28;1;1
VIP;Continente Shopping;Masculino;8;C&A;5102,33;5,19;18;13
VIP;Continente Shopping;Masculino;9;Panvel Farmácias;4629,37;4,71;32;21
VIP;Continente Shopping;Masculino;10;Vivo;4597,0;4,67;2;1
VIP;Garten Shopping;Feminino;1;Coliseu;30169,0;20,09;7;4
VIP;Garten Shopping;Feminino;2;Renner;29231,0;19,47;123;84
VIP;Garten Shopping;Feminino;3;Riachuelo;19021,55;12,67;74;62
VIP;Garten Shopping;Feminino;4;Havan;14282,64;9,51;65;46
VIP;Garten Shopping;Feminino;5;C&A;12538,69;8,35;43;38
VIP;Garten Shopping;Feminino;6;Outback Steakhouse;9561,29;6,37;45;16
VIP;Garten Shopping;Feminino;7;Vivara ;9347,04;6,23;5;5
VIP;Garten Shopping;Feminino;8;Shoulder;9006,17;6,0;12;9
VIP;Garten Shopping;Feminino;9;Tok & Stok;8551,76;5,7;19;11
VIP;Garten Shopping;Feminino;10;Le Lis Blanc;8428,3;5,61;5;5
VIP;Garten Shopping;Masculino;1;Coliseu;41975,54;48,03;6;3
VIP;Garten Shopping;Masculino;2;Outback Steakhouse;7198,16;8,24;47;5
VIP;Garten Shopping;Masculino;3;Brooksfield;6958,76;7,96;3;3
VIP;Garten Shopping;Masculino;4;Renner;6816,820000000001;7,8;33;21
VIP;Garten Shopping;Masculino;5;Magazine Luiza;5289,0;6,05;2;2
VIP;Garten Shopping;Masculino;6;Tok & Stok;4331,67;4,96;7;4
VIP;Garten Shopping;Masculino;7;Havan;4029,5;4,61;9;8
VIP;Garten Shopping;Masculino;8;General Lyy;3716,65;4,25;10;3
VIP;Garten Shopping;Masculino;9;OJO Sol & Grau;3551,0;4,06;3;2
VIP;Garten Shopping;Masculino;10;Centauro;3518,88;4,03;9;9
VIP;Nações Shopping;Feminino;1;Essence Parfums;34117,93;30,26;37;2
VIP;Nações Shopping;Feminino;2;Renner;22826,51;20,25;83;53
VIP;Nações Shopping;Feminino;3;Las Leñas Parrilla Uruguaya;9716,2;8,62;31;5
VIP;Nações Shopping;Feminino;4;JAH Açaí;7958,29;7,06;47;9
VIP;Nações Shopping;Feminino;5;C&A;7743,01;6,87;39;36
VIP;Nações Shopping;Feminino;6;Riachuelo;7473,92;6,63;35;27
VIP;Nações Shopping;Feminino;7;Live!;6425,1;5,7;8;7
VIP;Nações Shopping;Feminino;8;Me Linda;5805,94;5,15;39;31
VIP;Nações Shopping;Feminino;9;Farm;5563,57;4,93;13;8
VIP;Nações Shopping;Feminino;10;Dudalina;5118,9;4,54;3;2
VIP;Nações Shopping;Masculino;1;Las Leñas Parrilla Uruguaya;19517,8;48,42;61;4
VIP;Nações Shopping;Masculino;2;Essence Parfums;3123,13;7,75;4;2
VIP;Nações Shopping;Masculino;3;Renner;3042,05;7,55;15;14
VIP;Nações Shopping;Masculino;4;C&A;2625,65;6,51;15;13
VIP;Nações Shopping;Masculino;5;Centauro;2367,9;5,87;7;7
VIP;Nações Shopping;Masculino;6;JAH Açaí;2242,69;5,56;8;3
VIP;Nações Shopping;Masculino;7;Empório Du Homem;2104,9;5,22;2;2
VIP;Nações Shopping;Masculino;8;Tokaia;1998,0;4,96;1;1
VIP;Nações Shopping;Masculino;9;Dudalina;1759,0;4,36;1;1
VIP;Nações Shopping;Masculino;10;Guzzatti;1527,8;3,79;3;2
VIP;Neumarkt Shopping;Feminino;1;Renner;55627,9;24,63;227;156
VIP;Neumarkt Shopping;Feminino;2;Havan;23255,05;10,3;137;99
VIP;Neumarkt Shopping;Feminino;3;Vivo;21098,0;9,34;2;1
VIP;Neumarkt Shopping;Feminino;4;Le Lis ;20537,3;9,09;9;7
VIP;Neumarkt Shopping;Feminino;5;Shoulder;20352,36;9,01;20;16
VIP;Neumarkt Shopping;Feminino;6;Cobasi;18230,36;8,07;115;55
VIP;Neumarkt Shopping;Feminino;7;Ri Happy;17506,96;7,75;64;48
VIP;Neumarkt Shopping;Feminino;8;Panvel Farmácias;17182,83;7,61;156;101
VIP;Neumarkt Shopping;Feminino;9;Centauro;16870,510000000002;7,47;53;46
VIP;Neumarkt Shopping;Feminino;10;Madero;15211,7;6,73;91;58
VIP;Neumarkt Shopping;Masculino;1;Samsung;11298,0;15,34;1;1
VIP;Neumarkt Shopping;Masculino;2;GrandVision;10720,4;14,56;3;2
VIP;Neumarkt Shopping;Masculino;3;Cia do Homem;8479,61;11,52;7;5
VIP;Neumarkt Shopping;Masculino;4;Renner;7656,58;10,4;35;26
VIP;Neumarkt Shopping;Masculino;5;Centauro;6928,55;9,41;19;15
VIP;Neumarkt Shopping;Masculino;6;Havan;6666,76;9,05;28;21
VIP;Neumarkt Shopping;Masculino;7;Adidas;6332,67;8,6;10;7
VIP;Neumarkt Shopping;Masculino;8;Rei Do Mate;5469,8;7,43;23;8
VIP;Neumarkt Shopping;Masculino;9;Riachuelo;5052,32;6,86;12;10
VIP;Neumarkt Shopping;Masculino;10;Victor Hugo;5028,35;6,83;1;1
VIP;Norte Shopping;Feminino;1;Havan;32930,08;23,85;101;68
VIP;Norte Shopping;Feminino;2;Atacadão;32192,37;23,31;198;84
VIP;Norte Shopping;Feminino;3;Pittol;15051,28;10,9;42;32
VIP;Norte Shopping;Feminino;4;Renner;11824,78;8,56;50;40
VIP;Norte Shopping;Feminino;5;Empório DuHomem;10141,3;7,34;18;3
VIP;Norte Shopping;Feminino;6;Riachuelo;9259,2;6,71;51;40
VIP;Norte Shopping;Feminino;7;Idéli.oui;7397,1900000000005;5,36;27;17
VIP;Norte Shopping;Feminino;8;Cobasi;6661,5;4,82;49;35
VIP;Norte Shopping;Feminino;9;Samsung;6626,0;4,8;1;1
VIP;Norte Shopping;Feminino;10;Magazine Luiza;5998,04;4,34;2;2
VIP;Norte Shopping;Masculino;1;Magazine Luiza;11858,0;17,98;3;2
VIP;Norte Shopping;Masculino;2;Game Mania;11749,5;17,81;5;2
