loja,valor,clientes
Vivara,453009.57,120
Renner,346936.6,902
Havan,306538.57,777
Riachuelo,229525.56,665
Centauro,187033.17,444
Life by Vivara,173383.26,200
Idéli.Oui,167799.3,156
Shoulder,158435.06,147
Cvc Viagens,150421.93,9
Brooksfield,149569.08000000002,82
Vivo,136615.0,25
Le Lis ,131336.61,76
Samsung,125949.0,28
Óticas Carol,125789.0,63
Livrarias Catarinense,119798.19,765
Farm,114280.6,165
Cia do Homem,109995.43,132
Luz da Lua,107773.78,114
Track & Field,104555.94,128
Camicado,98534.63,271
