loja,valor,clientes
Zara,3659114.36,4234
Vivara,2469535.69,521
Renner,1793861.16,4110
Sephora,1270421.02,1911
.,1221112.47,1371
Centauro,1136046.25,2236
iPlace Mobile,1110182.56,292
Kulkes,803762.0,15
C&A,795913.0700000001,2110
Superlegal Brinquedos,738989.4400000001,1740
Tok&Stok,648047.78,545
Dolce & Gabbana Do Brasil,628819.0,69
Paris Cosméticos,613167.07,1149
Riachuelo,577716.53,1599
Life Vivara,574948.0,659
Arezzo,507048.75,928
Lindt,484304.13,1741
Track&Field,435408.05,585
Outback Steakhouse,424272.92,1215
BOSS,404810.0,214
