loja,valor,clientes
Renner,162833.15,462
Cassol Centerlar,143324.76,130
Vivara,136063.33000000002,55
C&A,106196.67,344
Centauro,95306.74,232
Riachuelo,78551.51,288
Luz da Lua,77964.13,84
Essence Parfums,74857.39,74
Youcom,53624.45,147
Calvin Klein e Tommy Hilfiger,46358.0,55
Empório Du Homem,45198.35,32
Farm,43506.99,72
Cacau Show,41652.53,258
Ri Happy,37716.87,157
Pittol,33081.44,120
Samsung,32707.010000000002,6
Békko,32560.44,53
Crocs,32330.11,68
Fátima Criança,30933.29,122
Arezzo,27284.31,65
