segmento,valor,clientes,ranking,shopping,sigla
Moda,27814361.66,24528,1,Neumarkt Shopping,NK
Joalheria,9925149.15,4551,2,Neumarkt Shopping,NK
Beleza e Bem-estar,7830267.94,14403,3,Neumarkt Shopping,NK
Calçados,7224053.4799999995,12055,4,Neumarkt Shopping,NK
Gastronomia,6460615.65,15881,5,Neumarkt Shopping,NK
Casa e Decoração,5948250.59,10803,6,Neumarkt Shopping,NK
Esportes,4300037.57,7949,7,Neumarkt Shopping,NK
Moda Feminina,4232168.4,3706,8,Neumarkt Shopping,NK
Telefonia,3897832.22,1166,9,Neumarkt Shopping,NK
Ótica,3673712.42,2210,10,Neumarkt Shopping,NK
