loja,valor,clientes,ranking,shopping,sigla
Renner,3346887.55,5929,1,Nações Shopping,NS
Vivara,1845599.73,871,2,Nações Shopping,NS
Cassol Centerlar,1728494.21,1735,3,Nações Shopping,NS
C&A,1683053.52,4248,4,Nações Shopping,NS
Riachuelo,1545780.53,3829,5,Nações Shopping,NS
Samsung,1474478.55,355,6,Nações Shopping,NS
Luz da Lua,1388954.33,1454,7,Nações Shopping,NS
Centauro,1237886.1500000001,2499,8,Nações Shopping,NS
Empório Du Homem,954862.97,537,9,Nações Shopping,NS
Pittol,794377.65,2260,10,Nações Shopping,NS
