segmento,valor,clientes,ranking,shopping,sigla
Moda,15098123.6,15173,1,Nações Shopping,NS
Gastronomia,2584447.45,7665,2,Nações Shopping,NS
Beleza e Bem-estar,2433788.47,5943,3,Nações Shopping,NS
Joalheria,2367348.54,1556,4,Nações Shopping,NS
Casa e Decoração,2356355.59,3655,5,Nações Shopping,NS
Esportes,1845875.73,3471,6,Nações Shopping,NS
Calçados,1773471.3800000001,4390,7,Nações Shopping,NS
Eletrônicos,1485644.4,370,8,Nações Shopping,NS
Calçados Femininos,1391609.33,1459,9,Nações Shopping,NS
Infantil,1193109.06,3184,10,Nações Shopping,NS
