faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),64572.0,98
Boomers (1946-1964),Noite (18h-22h),75442.8,133
Boomers (1946-1964),Tarde (12h-18h),47277.77,93
Gen X (1965-1980),Manha (6h-12h),250323.35,380
Gen X (1965-1980),Noite (18h-22h),374412.87,579
Gen X (1965-1980),Tarde (12h-18h),301176.94,499
Gen Z (1997-2012),Manha (6h-12h),40467.75,81
Gen Z (1997-2012),Noite (18h-22h),109009.73999999999,155
Gen Z (1997-2012),Tarde (12h-18h),84073.62,133
Millennials (1981-1996),Manha (6h-12h),291760.47,584
Millennials (1981-1996),Noite (18h-22h),412040.94,840
Millennials (1981-1996),Tarde (12h-18h),444586.05,733
Nao Informado,Noite (18h-22h),914.46,4
Nao Informado,Tarde (12h-18h),210.51999999999998,7
Silent (antes 1946),Tarde (12h-18h),2993.15,3
