shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Balneário Shopping,Pontual,1,Moda,77400.66,46.01,287,208
Balneário Shopping,Pontual,2,Beleza e Bem-estar,21942.99,13.04,112,96
Balneário Shopping,Pontual,3,Calçados,14010.94,8.33,59,54
Balneário Shopping,Pontual,4,Gastronomia,12554.41,7.46,155,105
Balneário Shopping,Pontual,5,Moda Feminina,10223.85,6.08,24,23
Balneário Shopping,Pontual,6,Esportes,7085.5,4.21,28,24
Balneário Shopping,Pontual,7,Casa e Decoração,7025.12,4.18,25,23
Balneário Shopping,Pontual,8,Presentes e Acessórios,7018.0,4.17,35,33
Balneário Shopping,Pontual,9,Infantil,6427.51,3.82,46,43
Balneário Shopping,Pontual,10,Livrarias,4534.78,2.7,27,25
Balneário Shopping,Potencial,1,Moda,173953.16,48.75,438,244
Balneário Shopping,Potencial,2,Beleza e Bem-estar,33378.28,9.36,132,89
Balneário Shopping,Potencial,3,Calçados,27067.63,7.59,56,52
Balneário Shopping,Potencial,4,Moda Feminina,25784.36,7.23,37,33
Balneário Shopping,Potencial,5,Presentes e Acessórios,19803.37,5.55,51,46
Balneário Shopping,Potencial,6,Gastronomia,16261.97,4.56,195,100
Balneário Shopping,Potencial,7,Infantil,16256.800000000001,4.56,66,49
Balneário Shopping,Potencial,8,Casa e Decoração,16212.02,4.54,31,28
Balneário Shopping,Potencial,9,Joalheria,14581.71,4.09,15,11
Balneário Shopping,Potencial,10,Esportes,13494.19,3.78,36,34
Balneário Shopping,Premium,1,Moda,209963.88,49.06,485,238
Balneário Shopping,Premium,2,Beleza e Bem-estar,42711.94,9.98,146,100
Balneário Shopping,Premium,3,Moda Feminina,30329.2,7.09,38,33
Balneário Shopping,Premium,4,Calçados,29371.82,6.86,65,56
Balneário Shopping,Premium,5,Casa e Decoração,25758.76,6.02,46,42
Balneário Shopping,Premium,6,Infantil,23824.49,5.57,67,52
Balneário Shopping,Premium,7,Gastronomia,22443.1,5.24,231,117
Balneário Shopping,Premium,8,Presentes e Acessórios,19709.19,4.6,45,37
Balneário Shopping,Premium,9,Esportes,15225.01,3.56,49,41
Balneário Shopping,Premium,10,Papelaria,8673.32,2.03,36,29
Balneário Shopping,VIP,1,Moda,780103.19,43.84,1679,629
Balneário Shopping,VIP,2,Beleza e Bem-estar,206855.06,11.62,616,357
Balneário Shopping,VIP,3,Joalheria,136583.49,7.67,85,66
Balneário Shopping,VIP,4,Moda Feminina,123002.19,6.91,143,110
Balneário Shopping,VIP,5,Calçados,109409.33,6.15,234,172
Balneário Shopping,VIP,6,Gastronomia,95928.12,5.39,1021,363
Balneário Shopping,VIP,7,Infantil,87361.87,4.91,342,201
Balneário Shopping,VIP,8,Presentes e Acessórios,81974.1,4.61,173,146
Balneário Shopping,VIP,9,Eletrônicos,79524.77,4.47,45,39
Balneário Shopping,VIP,10,Casa e Decoração,78858.76,4.43,141,106
Continente Shopping,Pontual,1,Moda,106244.78,45.31,502,351
Continente Shopping,Pontual,2,Gastronomia,29931.9,12.77,529,284
Continente Shopping,Pontual,3,Esportes,21931.49,9.35,126,99
Continente Shopping,Pontual,4,Calçados,19742.72,8.42,92,81
Continente Shopping,Pontual,5,Infantil,14782.81,6.3,74,66
Continente Shopping,Pontual,6,Beleza e Bem-estar,12571.17,5.36,105,86
Continente Shopping,Pontual,7,Papelaria,8351.98,3.56,100,81
Continente Shopping,Pontual,8,Moda Feminina,7481.22,3.19,24,22
Continente Shopping,Pontual,9,Presentes e Acessórios,6731.14,2.87,41,36
Continente Shopping,Pontual,10,Livrarias,6699.78,2.86,71,65
Continente Shopping,Potencial,1,Moda,189489.8,49.03,588,334
Continente Shopping,Potencial,2,Esportes,40298.97,10.43,149,121
Continente Shopping,Potencial,3,Calçados,29566.63,7.65,99,86
