quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,21.0,1.0,300.0,Garten Shopping
40%,30.0,2.0,488.43200000000013,Garten Shopping
60%,49.0,3.0,788.0120000000001,Garten Shopping
80%,52.0,4.0,1411.632,Garten Shopping
20%,22.0,1.0,271.26000000000016,Nações Shopping
40%,43.40000000000009,2.0,469.74,Nações Shopping
60%,50.0,2.0,745.246,Nações Shopping
80%,55.0,4.0,1258.476,Nações Shopping
20%,21.0,1.0,338.884,Continente Shopping
40%,36.0,2.0,559.78,Continente Shopping
60%,50.0,3.0,919.8119999999999,Continente Shopping
80%,56.0,5.0,1634.458,Continente Shopping
20%,21.0,1.0,364.896,Balneário Shopping
40%,35.0,2.0,668.912,Balneário Shopping
60%,50.0,3.0,1153.8539999999996,Balneário Shopping
80%,55.0,5.0,2139.562000000001,Balneário Shopping
20%,21.0,1.0,329.814,Neumarkt Shopping
40%,43.0,2.0,559.42,Neumarkt Shopping
60%,50.0,3.0,923.0239999999999,Neumarkt Shopping
80%,56.0,5.0,1723.3480000000004,Neumarkt Shopping
20%,22.0,1.0,279.96,Norte Shopping
40%,46.0,2.0,429.95,Norte Shopping
60%,50.0,2.0,689.94,Norte Shopping
80%,56.0,4.0,1239.7800000000002,Norte Shopping
