loja,valor,clientes
Renner,1495917.15,3618
Vivara,1331882.06,516
Havan,1107850.99,2740
Cvc Viagens,856429.88,66
Centauro,798081.42,1988
Riachuelo,676463.27,2158
Idéli.Oui,642652.04,682
Shoulder,566339.05,516
Ri Happy,559638.22,1640
Cia do Homem,557538.86,761
Livrarias Catarinense,495111.16,2665
Hering Store,492442.03,1335
Brooksfield,472506.63,355
Le Lis ,470430.52999999997,277
iPlace Mobile,461351.01,162
Life by Vivara,433983.82,615
TIM,430888.64,115
Maze,416506.88,395
Track & Field,412991.99,508
Vivo,410855.0,91
