faixa_etaria,dia_semana,valor,transacoes
Boomers (1946-1964),Domingo,2068780.92,5507
Boomers (1946-1964),Quarta,1536445.44,3809
Boomers (1946-1964),Quinta,2007230.61,4559
Boomers (1946-1964),Sabado,2136930.48,5390
Boomers (1946-1964),Segunda,2430068.47,5365
Boomers (1946-1964),Sexta,1766464.63,4356
Boomers (1946-1964),Terca,1911466.1199999999,4399
Gen X (1965-1980),Domingo,8375637.06,24111
Gen X (1965-1980),Quarta,5490435.73,14527
Gen X (1965-1980),Quinta,6097490.89,16589
Gen X (1965-1980),Sabado,7918712.68,23017
Gen X (1965-1980),Segunda,8510890.69,22725
Gen X (1965-1980),Sexta,6308089.14,17033
Gen X (1965-1980),Terca,6969561.83,18071
Gen Z (1997-2012),Domingo,3044292.71,10851
Gen Z (1997-2012),Quarta,1467903.46,5192
Gen Z (1997-2012),Quinta,1684737.79,5763
Gen Z (1997-2012),Sabado,2743283.88,9229
Gen Z (1997-2012),Segunda,2523408.59,8356
Gen Z (1997-2012),Sexta,1935471.33,6406
Gen Z (1997-2012),Terca,2029999.86,6871
Millennials (1981-1996),Domingo,12637978.68,39824
Millennials (1981-1996),Quarta,7141585.93,21400
Millennials (1981-1996),Quinta,8097383.2,24080
Millennials (1981-1996),Sabado,11705201.84,36183
Millennials (1981-1996),Segunda,11721157.95,33771
Millennials (1981-1996),Sexta,8517679.35,24885
Millennials (1981-1996),Terca,9210900.02,26250
Nao Informado,Domingo,3088.13,16
Nao Informado,Quarta,3446.68,7
Nao Informado,Sabado,1081.3,5
Nao Informado,Segunda,1554.58,7
Nao Informado,Sexta,1614.05,1
Nao Informado,Terca,1909.63,7
Silent (antes 1946),Domingo,67591.59,118
Silent (antes 1946),Quarta,42975.87,110
Silent (antes 1946),Quinta,75469.12,107
Silent (antes 1946),Sabado,39275.8,102
Silent (antes 1946),Segunda,96693.01,108
Silent (antes 1946),Sexta,52010.47,107
Silent (antes 1946),Terca,54241.55,117
