sigla,segmento,valor,clientes
BS,Moda,9953839.15,13180
BS,Telefonia,2421863.94,650
BS,Calçados,1912071.25,5209
BS,Joalheria,1782882.35,1072
BS,Gastronomia,1414159.43,7515
BS,Ótica,1359756.64,1033
BS,Esportes,1344117.76,3560
BS,Beleza e Bem-estar,1246783.7,4222
BS,Eletrodomésticos,1199524.82,2045
BS,Infantil,745668.97,2214
BS,Moda Feminina,573983.9,838
BS,Casa e Decoração,544152.71,1052
BS,Não informado,530720.1,1024
BS,Eletrônicos,440011.12,250
BS,Presentes e Acessórios,325531.93,1175
BS,Livrarias,305108.98,1857
BS,Vestuário feminino,265262.79,393
BS,Papelaria,213763.28,1376
BS,Farmácias,176710.41,1387
BS,Pets,134577.2,744
CS,Moda,17341496.29,15914
CS,Joalheria,4985044.03,2051
CS,Beleza e Bem-estar,3882194.86,7458
CS,Calçados,3597670.7399999998,5715
CS,Moda Feminina,2674878.54,2504
CS,Infantil,2164449.22,4653
CS,Gastronomia,1954545.35,7878
CS,Casa e Decoração,1654357.68,1931
CS,Eletrônicos,1640256.76,768
CS,Esportes,1512733.51,2977
CS,Presentes e Acessórios,1300789.45,3379
CS,Telefonia,1138934.82,250
CS,Ótica,1115599.75,935
CS,Livrarias,426640.11,2288
CS,Eletrodomésticos,404327.77,170
CS,Serviços,380321.14,1562
CS,Papelaria,195998.16,1126
CS,Calçados Femininos,182828.35,467
CS,Supermercado,162784.77,1272
CS,Farmácias,17910.41,119
NK,Moda,7201154.67,9459
NK,Joalheria,2552725.93,1493
NK,Beleza e Bem-estar,2227776.02,5500
NK,Calçados,1598861.87,3705
NK,Casa e Decoração,1597505.63,3897
NK,Gastronomia,1570227.96,6008
NK,Telefonia,1164167.23,306
NK,Esportes,986483.48,2486
NK,Ótica,983675.25,752
NK,Eletrônicos,926611.11,590
NK,Serviços,896219.88,1370
NK,Presentes e Acessórios,889814.1,1714
NK,Moda Feminina,787890.2,739
NK,Infantil,604360.36,1761
NK,Livrarias,495111.16,2665
NK,Eletrodomésticos,270718.38,1642
NK,Papelaria,249125.62,1506
NK,Farmácias,206910.76,1134
NK,Pets,161682.48,756
NK,Salão de Beleza | Barbearia,12978.99,52
GS,Moda,1982447.92,4053
GS,Eletrodomésticos,1573950.01,1588
GS,Casa e Decoração,1148129.31,2265
GS,Eletrônicos,821929.15,368
GS,Beleza e Bem-estar,775864.16,2682
GS,Supermercado,654058.31,1526
GS,Calçados,637140.04,1728
GS,Esportes,613746.03,1448
GS,Serviços,604477.3099999999,877
GS,Telefonia,517495.43,219
GS,Infantil,414356.78,1217
GS,Gastronomia,354268.72,2407
GS,Joalheria,281094.33,240
GS,Ótica,213239.51,296
GS,Presentes e Acessórios,144016.36,791
GS,Papelaria,140758.9,706
GS,Pets,136923.74,782
GS,Outros,119767.0,80
GS,Livrarias,99976.42,612
GS,Gastronomia - Sorvetes,9617.25,276
NR,Moda,9617172.04,12677
NR,Joalheria,2989614.18,1345
NR,Calçados,1812638.95,4797
NR,Esportes,1479488.45,3307
NR,Beleza e Bem-estar,1265654.84,3098
NR,Gastronomia,1262988.92,5927
NR,Serviços,1164185.69,1225
NR,Casa e Decoração,1043897.4,2867
NR,Presentes e Acessórios,992345.15,3766
NR,Telefonia,884676.94,303
NR,Infantil,860211.14,2709
NR,Ótica,719063.8,865
NR,Eletrônicos,557922.93,447
NR,Farmácias,435321.81,1899
NR,Moda Feminina,354806.94,458
NR,Eletrodomésticos,337167.55,158
NR,Livrarias,252687.79,1838
NR,Papelaria,170236.72,1201
NR,Pets,116658.61,794
NR,Kids,30310.61,323
NS,Moda,4848114.62,6660
NS,Casa e Decoração,1040649.93,1511
NS,Joalheria,875832.43,616
NS,Beleza e Bem-estar,778055.67,2484
NS,Infantil,592330.9400000001,1641
NS,Calçados,586097.97,1913
NS,Gastronomia,555272.34,2567
NS,Esportes,542151.76,1212
NS,Calçados Femininos,463564.18,600
NS,Eletrônicos,379816.14,106
NS,Pets,184657.48,906
NS,Livrarias,167122.14,929
NS,Farmácias,146658.87,827
NS,Ótica,122689.44,207
NS,Presentes e Acessórios,104505.85,238
NS,Papelaria,86298.69,379
NS,Outros,83880.13,245
NS,Hub da Saúde,51522.28,17
NS,Eletrodomésticos,45273.73,441
NS,Serviços,18951.76,613
