faixa_etaria,segmento,valor,clientes,ranking
Millennials (1981-1996),Moda,3317230.66,4764,1
Millennials (1981-1996),Joalheria,839279.59,383,2
Millennials (1981-1996),Gastronomia,749640.56,3512,3
Millennials (1981-1996),Beleza e Bem-estar,633622.95,1877,4
Millennials (1981-1996),Calçados,589904.42,1508,5
Gen X (1965-1980),Moda,2185543.95,2785,1
Gen X (1965-1980),Gastronomia,447417.82,2061,2
Gen X (1965-1980),Joalheria,435369.95,243,3
Gen X (1965-1980),Beleza e Bem-estar,424915.79,1210,4
Gen X (1965-1980),Calçados,352375.51,836,5
Gen Z (1997-2012),Moda,702246.88,1168,1
Gen Z (1997-2012),Joalheria,195400.82,89,2
Gen Z (1997-2012),Beleza e Bem-estar,141049.03,531,3
Gen Z (1997-2012),Gastronomia,140550.6,853,4
Gen Z (1997-2012),Calçados,110464.87,323,5
Boomers (1946-1964),Moda,438879.74,614,1
Boomers (1946-1964),Joalheria,403430.8,50,2
Boomers (1946-1964),Eletrônicos,90439.16,24,3
Boomers (1946-1964),Beleza e Bem-estar,88602.45,222,4
Boomers (1946-1964),Gastronomia,82833.77,388,5
Nao Informado,Gastronomia,192.95,2,1
Nao Informado,Eletrodomésticos,48.0,1,2
Nao Informado,Serviços,30.0,1,3
Silent (antes 1946),Joalheria,15630.0,3,1
Silent (antes 1946),Moda,12594.89,18,2
Silent (antes 1946),Eletrônicos,9024.1,2,3
Silent (antes 1946),Esportes,6735.65,8,4
Silent (antes 1946),Casa e Decoração,4439.41,4,5
