loja,valor,clientes
Renner,1326076.29,2924
Vivara ,1159887.43,356
Bergerson,952550.53,33
Riachuelo,739757.75,1846
C&A,626713.52,1585
Centauro,569746.79,1266
IPLACE MOBILE,517458.66000000003,133
Brooksfield,494141.10000000003,248
Havan,485494.6,1360
CVC,453929.25,35
Levi's,408396.23,546
Hering,408032.99,1007
Pittol,403575.82,1149
Idéli Oui,384839.97,483
Nxt,374040.0,42
Le Lis Blanc,343740.86,205
Maze Skate,308846.08999999997,245
Life Vivara,303951.42,335
Makenji,282145.92,249
Shoulder,256291.31,235
