loja,valor,clientes
Renner,993963.02,1864
Vivara,492027.82,220
C&A,434612.96,1091
Riachuelo,339846.14,888
Luz da Lua,336182.27999999997,338
Samsung,328559.3,70
Centauro,288171.12,613
Empório Du Homem,268350.31,159
Essence Parfums,263794.32,265
Cassol Centerlar,242660.43,312
Youcom,237231.46,480
Pittol,235926.72,621
Calvin Klein e Tommy Hilfiger,231459.0,215
Békko,184328.65,159
Colcci,138032.7,69
Beagle,137520.58,203
Arezzo,134534.05,216
Damyller,132133.45,161
Cobasi,117814.43,529
Kings ,117630.81999999999,132
