perfil;shopping;genero;ranking;loja;valor;pct_valor;cupons;clientes
Premium;Balneário Shopping;Feminino;1;Zara;643760,88;36,98;983;707
Premium;Balneário Shopping;Feminino;2;Renner;310534,79;17,84;759;535
Premium;Balneário Shopping;Feminino;3;Sephora;170407,64;9,79;324;265
Premium;Balneário Shopping;Feminino;4;C&A;138449,55000000002;7,95;380;281
Premium;Balneário Shopping;Feminino;5;Centauro;122495,06;7,04;220;196
Premium;Balneário Shopping;Feminino;6;Arezzo;80125,86;4,6;117;111
Premium;Balneário Shopping;Feminino;7;Riachuelo;75850,47;4,36;214;174
Premium;Balneário Shopping;Feminino;8;Vivara;75799,25;4,35;47;43
Premium;Balneário Shopping;Feminino;9;Shoulder;66356,6;3,81;73;67
Premium;Balneário Shopping;Feminino;10;Luz da Lua;56983,42;3,27;46;45
Premium;Balneário Shopping;Masculino;1;Zara;250117,13;30,2;352;245
Premium;Balneário Shopping;Masculino;2;Vivara;129676,74;15,66;57;55
Premium;Balneário Shopping;Masculino;3;Centauro;88162,28;10,65;135;113
Premium;Balneário Shopping;Masculino;4;Renner;77486,18;9,36;194;135
Premium;Balneário Shopping;Masculino;5;Brooksfield;66206,88;8,0;31;30
Premium;Balneário Shopping;Masculino;6;Life Vivara;49122,55;5,93;37;30
Premium;Balneário Shopping;Masculino;7;Clifield;44416,3;5,36;31;27
Premium;Balneário Shopping;Masculino;8;Padrão;41476,15;5,01;24;21
Premium;Balneário Shopping;Masculino;9;Paris Cosméticos;40906,67;4,94;52;48
Premium;Balneário Shopping;Masculino;10;C&A;40519,1;4,89;89;76
Premium;Continente Shopping;Feminino;1;Renner;198683,89;22,82;520;383
Premium;Continente Shopping;Feminino;2;Nike Unite;111620,84;12,82;222;163
Premium;Continente Shopping;Feminino;3;C&A;107254,38;12,32;283;205
Premium;Continente Shopping;Feminino;4;Óticas Carol;84137,0;9,66;40;37
Premium;Continente Shopping;Feminino;5;Centauro;78130,91;8,97;195;151
Premium;Continente Shopping;Feminino;6;Riachuelo;78082,51;8,97;234;193
Premium;Continente Shopping;Feminino;7;Arezzo;60487,58;6,95;107;91
Premium;Continente Shopping;Feminino;8;Ótica Diniz;51263,4;5,89;26;24
Premium;Continente Shopping;Feminino;9;Luz da Lua;50988,659999999996;5,86;46;40
Premium;Continente Shopping;Feminino;10;Damyller ;50128,4;5,76;54;51
Premium;Continente Shopping;Masculino;1;Vivara;96600,86;15,35;44;40
Premium;Continente Shopping;Masculino;2;Magazine Luiza;73501,47;11,68;22;21
Premium;Continente Shopping;Masculino;3;Nike Unite;67716,92;10,76;130;104
Premium;Continente Shopping;Masculino;4;Claro;65788,44;10,46;22;20
Premium;Continente Shopping;Masculino;5;Empório Du Homem;64549,31;10,26;46;39
Premium;Continente Shopping;Masculino;6;Renner;59390,46;9,44;143;113
Premium;Continente Shopping;Masculino;7;Brooksfield;52510,2;8,35;30;26
Premium;Continente Shopping;Masculino;8;Óticas Carol;51381,3;8,17;20;19
Premium;Continente Shopping;Masculino;9;Clifield;51275,94;8,15;52;44
Premium;Continente Shopping;Masculino;10;Centauro;46486,69;7,39;104;89
Premium;Garten Shopping;Feminino;1;Renner;211014,1;26,15;596;436
Premium;Garten Shopping;Feminino;2;Riachuelo;113049,51;14,01;341;259
Premium;Garten Shopping;Feminino;3;C&A;91352,47;11,32;291;227
Premium;Garten Shopping;Feminino;4;Centauro;61442,74;7,61;163;137
Premium;Garten Shopping;Feminino;5;Levi's;59244,51;7,34;92;69
Premium;Garten Shopping;Feminino;6;Hering;59149,97;7,33;161;138
Premium;Garten Shopping;Feminino;7;Shoulder;54417,21;6,74;56;45
Premium;Garten Shopping;Feminino;8;Havan;53526,74;6,63;226;175
Premium;Garten Shopping;Feminino;9;Maze Skate;52949,07;6,56;42;37
Premium;Garten Shopping;Feminino;10;Idéli Oui;50853,77;6,3;76;65
Premium;Garten Shopping;Masculino;1;Vivara ;129282,16;25,71;52;50
Premium;Garten Shopping;Masculino;2;Brooksfield;57357,02;11,41;36;32
Premium;Garten Shopping;Masculino;3;Life Vivara;48344,32;9,61;39;36
Premium;Garten Shopping;Masculino;4;Renner;45703,74;9,09;130;106
Premium;Garten Shopping;Masculino;5;Magazine Luiza;37768,770000000004;7,51;18;16
Premium;Garten Shopping;Masculino;6;Centauro;37516,68;7,46;74;66
Premium;Garten Shopping;Masculino;7;JCanedo;37392,95;7,44;27;24
Premium;Garten Shopping;Masculino;8;Idéli Oui;37301,38;7,42;30;26
Premium;Garten Shopping;Masculino;9;C&A;36287,15;7,22;80;63
Premium;Garten Shopping;Masculino;10;Makenji;35871,92;7,13;24;22
Premium;Nações Shopping;Feminino;1;Renner;179820,45;30,99;430;283
Premium;Nações Shopping;Feminino;2;Luz da Lua;69644,59;12,0;73;65
Premium;Nações Shopping;Feminino;3;C&A;62460,07;10,76;177;140
Premium;Nações Shopping;Feminino;4;Riachuelo;51208,44;8,82;153;116
Premium;Nações Shopping;Feminino;5;Essence Parfums;42537,89;7,33;39;30
Premium;Nações Shopping;Feminino;6;Cassol Centerlar;40426,23;6,97;63;45
Premium;Nações Shopping;Feminino;7;Youcom;36015,24;6,21;83;64
Premium;Nações Shopping;Feminino;8;Calvin Klein e Tommy Hilfiger;34635,0;5,97;33;27
Premium;Nações Shopping;Feminino;9;Vivara;31855,78;5,49;25;20
Premium;Nações Shopping;Feminino;10;Pittol;31715,88;5,47;112;82
Premium;Nações Shopping;Masculino;1;Empório Du Homem;51816,02;14,68;30;25
Premium;Nações Shopping;Masculino;2;Vivara;46144,68;13,07;25;24
Premium;Nações Shopping;Masculino;3;Samsung;46085,0;13,06;16;14
Premium;Nações Shopping;Masculino;4;Renner;38275,82;10,84;78;59
Premium;Nações Shopping;Masculino;5;Békko;31772,68;9,0;23;21
Premium;Nações Shopping;Masculino;6;Essence Parfums;30075,670000000002;8,52;21;19
Premium;Nações Shopping;Masculino;7;Centauro;28932,07;8,2;55;40
Premium;Nações Shopping;Masculino;8;Ortobom ;28020,71;7,94;9;9
Premium;Nações Shopping;Masculino;9;Cassol Centerlar;26516,32;7,51;29;21
Premium;Nações Shopping;Masculino;10;Calvin Klein e Tommy Hilfiger;25361,0;7,18;24;20
Premium;Neumarkt Shopping;Feminino;1;Renner;173195,83;23,27;505;370
Premium;Neumarkt Shopping;Feminino;2;Havan;104741,49;14,07;312;228
Premium;Neumarkt Shopping;Feminino;3;Riachuelo;76442,78;10,27;230;190
Premium;Neumarkt Shopping;Feminino;4;Shoulder;70652,62;9,49;79;70
Premium;Neumarkt Shopping;Feminino;5;Luz da Lua;68091,13;9,15;66;56
Premium;Neumarkt Shopping;Feminino;6;Idéli.Oui;61769,270000000004;8,3;54;53
Premium;Neumarkt Shopping;Feminino;7;Damyller;54047,4;7,26;60;51
Premium;Neumarkt Shopping;Feminino;8;Centauro;48793,700000000004;6,56;137;117
Premium;Neumarkt Shopping;Feminino;9;Life by Vivara;45038,45;6,05;65;54
Premium;Neumarkt Shopping;Feminino;10;Claro;41467,92;5,57;21;13
Premium;Neumarkt Shopping;Masculino;1;Vivara;75731,56;15,17;36;36
Premium;Neumarkt Shopping;Masculino;2;Cia do Homem;71930,66;14,41;58;54
Premium;Neumarkt Shopping;Masculino;3;Brooksfield;66447,24;13,31;47;42
Premium;Neumarkt Shopping;Masculino;4;Havan;52923,32;10,6;117;90
Premium;Neumarkt Shopping;Masculino;5;Centauro;45588,55;9,13;110;96
Premium;Neumarkt Shopping;Masculino;6;Renner;43798,1;8,77;124;99
Premium;Neumarkt Shopping;Masculino;7;JCanedo;42293,38;8,47;36;34
Premium;Neumarkt Shopping;Masculino;8;Idéli.Oui;40129,0;8,04;41;31
Premium;Neumarkt Shopping;Masculino;9;Democrata;31663,96;6,34;53;46
Premium;Neumarkt Shopping;Masculino;10;Óticas Carol;28670,4;5,74;15;14
Premium;Norte Shopping;Feminino;1;Casas Bahia;149260,54;22,7;63;51
