segmento,valor,clientes
Moda,1158266.81,1514
Gastronomia,462991.27999999997,1599
Calçados,225770.03,542
Telefonia,199589.85,48
Esportes,194856.0,519
Eletrodomésticos,188015.27,649
Beleza e Bem-estar,159540.99,721
Joalheria,131454.04,87
Ótica,95650.74,47
Farmácias,66517.25,416
Presentes e Acessórios,45849.39,127
Eletrônicos,39977.45,23
Papelaria,39868.17,381
Moda Feminina,39769.33,46
Livrarias,37547.4,356
Não informado,34001.29,62
Pets,33006.53,178
Infantil,30861.21,125
Serviços,16928.39,211
Fast Food,16047.11,202
