segmento,valor,clientes
Moda,1487460.71,1391
Gastronomia,350806.4,1195
Beleza e Bem-estar,326332.3,646
Moda Feminina,281211.47,90
Joalheria,251096.54,123
Infantil,186709.6,468
Esportes,174190.9,323
Calçados,169626.7,365
Presentes e Acessórios,127860.35,274
Casa e Decoração,104701.82,170
Eletrônicos,98607.12,40
Calçados Femininos,81632.01,131
Ótica,75439.45,55
Livrarias,50120.07,318
Telefonia,32183.54,12
Eletrodomésticos,30963.12,17
Farmácias,22325.59,165
Supermercado,19632.77,199
Serviços,7779.33,109
Lazer,7618.0,56
