segmento,valor,clientes
Moda,606152.97,815
Gastronomia,341228.44,841
Beleza e Bem-estar,110216.36,289
Calçados,76244.18,171
Esportes,70420.75,180
Farmácias,66124.02,286
Casa e Decoração,55413.82,214
Infantil,41804.53,175
Eletrônicos,37287.9,9
Joalheria,36400.86,39
Pets,27419.81,139
Livrarias,23345.24,190
Eletrodomésticos,21247.67,227
Ótica,18708.42,17
Não informado,13512.95,64
Calçados Femininos,10504.619999999999,15
Presentes e Acessórios,7725.08,26
Outros,6118.0,17
Hub da Saúde,5912.77,2
Papelaria,4804.55,46
