loja,valor,clientes
Zara,5117063.26,5554
Vivara,3017870.79,686
Renner,2410895.27,5274
Sephora,1863560.23,2663
iPlace Mobile,1659651.83,398
.,1592465.79,1696
Centauro,1543098.06,2928
C&A,1128070.06,2859
Superlegal Brinquedos,920036.93,2183
Kulkes,871762.0,16
Tok&Stok,844821.91,779
Riachuelo,835728.52,2225
Paris Cosméticos,790322.77,1488
Life Vivara,780516.73,878
Dolce & Gabbana Do Brasil,716357.0,74
Lindt,651203.9400000001,2311
Arezzo,635759.26,1146
Outback Steakhouse,610120.89,1686
Samsung,547789.02,107
Swarovski,524525.67,246
