segmento,valor,clientes
Moda,10479484.44,13009
Joalheria,3961146.11,1388
Calçados,2717489.32,5959
Gastronomia,1616582.82,6572
Beleza e Bem-estar,1608763.78,4248
Esportes,1089142.95,2620
Infantil,929331.1,2711
Casa e Decoração,911315.83,2313
Moda Feminina,859914.66,1252
Presentes e Acessórios,855745.46,2609
Serviços,772992.47,963
Eletrônicos,547952.67,384
Ótica,519416.45,580
Farmácias,441778.94,1931
Telefonia,370027.61,165
Não informado,309330.16,400
Livrarias,259820.9,1831
Eletrodomésticos,217597.82,139
Papelaria,211520.5,1312
Ótica e Joalheria,107258.52,65
