segmento,valor,clientes
Moda,8108910.18,10297
Joalheria,3443447.81,1609
Beleza e Bem-estar,2647615.68,6450
Calçados,2507784.04,4809
Gastronomia,2071930.3,7280
Casa e Decoração,1753356.2,3883
Moda Feminina,1659861.63,1906
Esportes,1563535.72,3230
Telefonia,1243502.04,402
Ótica,955512.95,627
Presentes e Acessórios,847597.92,1820
Infantil,697366.86,1927
Eletrônicos,627994.57,573
Livrarias,602508.21,3174
Serviços,482562.96,1344
Papelaria,275524.71,1601
Eletrodomésticos,214232.3,1932
Pets,193149.77,768
Farmácias,174372.03,1257
Gastronomia - Restaurante,75820.59,235
