persona,qtd_clientes,valor_total,ticket_medio,freq_media,idade_media,pct_clientes,pct_valor
Cliente Regular,99960,93619778.89,936.5724178671469,3.1360044017607045,41.62846254136997,39.36269915651359,17.006056182221332
Executiva Premium,8002,91812048.82,11473.63769307673,32.899025243689074,46.0391152211947,3.151063611948997,16.677681564195023
Mae Moderna,47137,79696774.3,1690.7476992596048,7.494706918132253,39.511539033141545,18.56182022949761,14.47693892633603
Executivo Exigente,6904,71093841.5,10297.485732908459,18.23710892236385,39.921582838092476,2.7186882250557205,12.914214037821026
Fashionista Premium,6133,61894205.62,10091.995046469916,29.95010598402087,32.51174168297456,2.4150803714175453,11.243097886018509
Senior VIP,4344,49161407.19,11317.082686464088,20.65791896869245,62.53061694290976,1.7105998913154765,8.930181875910215
Senior Tradicional,32821,37306125.03,1136.6541247981477,3.9884829834557145,62.81865269187411,12.924401250659589,6.776666915081981
Comprador Seletivo,8855,27719878.42,3130.421052512705,1.8106154714850367,43.934871099050206,3.4869617950272893,5.035322827762179
Jovem Engajado,10888,19383280.67,1780.2425303085968,10.178453343130052,25.214639970609845,4.287525694438975,3.520977767498173
Jovem Explorer,28890,18710382.26,647.6421689165802,1.9505711318795431,25.01142263759086,11.3764343600608,3.3987456035146093
Cliente Premium,12,110742.56,9228.546666666667,24.583333333333332,31.11111111111111,0.004725414064407393,0.020116413640923276
